Week;Usmrteni;AL;
1.tyzden.2014;6;-130.941667
2.tyzden.2014;11;-63.904762
3.tyzden.2014;12;-29.440476
4.tyzden.2014;7;-75.458333
5.tyzden.2014;8;-46.976190
6.tyzden.2014;7;-93.321429
7.tyzden.2014;14;-63.523810
8.tyzden.2014;5;-216.565476
9.tyzden.2014;2;-80.125000
10.tyzden.2014;2;-50.880953
11.tyzden.2014;7;-55.130952
12.tyzden.2014;10;-51.494048
13.tyzden.2014;2;-66.994048
14.tyzden.2014;3;-63.714285
15.tyzden.2014;3;-124.148809
16.tyzden.2014;3;-79.273810
17.tyzden.2014;16;-103.053571
18.tyzden.2014;3;-106.535714
19.tyzden.2014;3;-117.339286
20.tyzden.2014;6;-51.666667
21.tyzden.2014;7;-81.666667
22.tyzden.2014;6;-60.297619
23.tyzden.2014;17;-86.291667
24.tyzden.2014;6;-61.476190
25.tyzden.2014;3;-99.738095
26.tyzden.2014;7;-56.404762
27.tyzden.2014;4;-51.904762
28.tyzden.2014;6;-83.809524
29.tyzden.2014;7;-41.934524
30.tyzden.2014;3;-52.821429
31.tyzden.2014;2;-70.976190
32.tyzden.2014;13;-102.065476
33.tyzden.2014;7;-58.654762
34.tyzden.2014;17;-80.315476
35.tyzden.2014;7;-167.279762
36.tyzden.2014;11;-108.041667
37.tyzden.2014;6;-78.755952
38.tyzden.2014;8;-54.726190
39.tyzden.2014;8;-179.785714
40.tyzden.2014;5;-103.267857
41.tyzden.2014;6;-102.011905
42.tyzden.2014;3;-117.994048
43.tyzden.2014;6;-191.684524
44.tyzden.2014;5;-94.357143
45.tyzden.2014;2;-85.500000
46.tyzden.2014;12;-125.672619
47.tyzden.2014;4;-139.565476
48.tyzden.2014;10;-61.410714
49.tyzden.2014;5;-112.029762
50.tyzden.2014;5;-132.755952
51.tyzden.2014;4;-117.095238
52.tyzden.2014;11;-117.887500
