Week;Zraneni;AE;
1.tyzden.2015;6;231.916667
2.tyzden.2015;6;188.976191
3.tyzden.2015;22;111.000000
4.tyzden.2015;9;116.958333
5.tyzden.2015;24;193.958333
6.tyzden.2015;12;202.511905
7.tyzden.2015;4;85.625000
8.tyzden.2015;6;172.666667
9.tyzden.2015;6;204.458333
10.tyzden.2015;8;225.011905
11.tyzden.2015;10;117.791667
12.tyzden.2015;14;345.970238
13.tyzden.2015;12;192.166666
14.tyzden.2015;14;129.077381
15.tyzden.2015;15;183.541667
16.tyzden.2015;9;314.345238
17.tyzden.2015;11;145.482143
18.tyzden.2015;15;135.238095
19.tyzden.2015;17;166.886905
20.tyzden.2015;21;324.035714
21.tyzden.2015;19;120.839286
22.tyzden.2015;18;108.708333
23.tyzden.2015;33;91.053571
24.tyzden.2015;22;308.678571
25.tyzden.2015;11;215.321428
26.tyzden.2015;9;366.178571
27.tyzden.2015;18;151.779762
28.tyzden.2015;23;206.351190
29.tyzden.2015;15;206.833333
30.tyzden.2015;20;198.238095
31.tyzden.2015;21;214.279762
32.tyzden.2015;22;240.607143
33.tyzden.2015;14;309.101190
34.tyzden.2015;20;305.226190
35.tyzden.2015;16;402.410714
36.tyzden.2015;22;202.553572
37.tyzden.2015;21;429.083333
38.tyzden.2015;24;293.773810
39.tyzden.2015;18;120.071428
40.tyzden.2015;14;236.523810
41.tyzden.2015;14;447.184524
42.tyzden.2015;19;300.470238
43.tyzden.2015;14;123.839286
44.tyzden.2015;18;109.636905
45.tyzden.2015;18;326.571429
46.tyzden.2015;16;305.690476
47.tyzden.2015;19;147.684524
48.tyzden.2015;19;78.982143
49.tyzden.2015;15;225.660714
50.tyzden.2015;17;232.934524
51.tyzden.2015;21;238.666667
52.tyzden.2015;22;186.359849
