Week;Zraneni;AL;
1.tyzden.2014;15;-130.941667
2.tyzden.2014;15;-63.904762
3.tyzden.2014;11;-29.440476
4.tyzden.2014;8;-75.458333
5.tyzden.2014;15;-46.976190
6.tyzden.2014;21;-93.321429
7.tyzden.2014;19;-63.523810
8.tyzden.2014;24;-216.565476
9.tyzden.2014;11;-80.125000
10.tyzden.2014;20;-50.880953
11.tyzden.2014;11;-55.130952
12.tyzden.2014;13;-51.494048
13.tyzden.2014;12;-66.994048
14.tyzden.2014;15;-63.714285
15.tyzden.2014;23;-124.148809
16.tyzden.2014;11;-79.273810
17.tyzden.2014;10;-103.053571
18.tyzden.2014;14;-106.535714
19.tyzden.2014;11;-117.339286
20.tyzden.2014;17;-51.666667
21.tyzden.2014;19;-81.666667
22.tyzden.2014;13;-60.297619
23.tyzden.2014;20;-86.291667
24.tyzden.2014;16;-61.476190
25.tyzden.2014;13;-99.738095
26.tyzden.2014;11;-56.404762
27.tyzden.2014;16;-51.904762
28.tyzden.2014;25;-83.809524
29.tyzden.2014;22;-41.934524
30.tyzden.2014;17;-52.821429
31.tyzden.2014;12;-70.976190
32.tyzden.2014;9;-102.065476
33.tyzden.2014;16;-58.654762
34.tyzden.2014;24;-80.315476
35.tyzden.2014;11;-167.279762
36.tyzden.2014;17;-108.041667
37.tyzden.2014;11;-78.755952
38.tyzden.2014;17;-54.726190
39.tyzden.2014;17;-179.785714
40.tyzden.2014;17;-103.267857
41.tyzden.2014;19;-102.011905
42.tyzden.2014;16;-117.994048
43.tyzden.2014;25;-191.684524
44.tyzden.2014;13;-94.357143
45.tyzden.2014;19;-85.500000
46.tyzden.2014;11;-125.672619
47.tyzden.2014;14;-139.565476
48.tyzden.2014;21;-61.410714
49.tyzden.2014;18;-112.029762
50.tyzden.2014;20;-132.755952
51.tyzden.2014;18;-117.095238
52.tyzden.2014;18;-117.887500
1.tyzden.2015;6;-150.177083
2.tyzden.2015;6;-126.273810
3.tyzden.2015;22;-66.583333
4.tyzden.2015;9;-61.321429
5.tyzden.2015;24;-108.482143
6.tyzden.2015;12;-131.577381
7.tyzden.2015;4;-48.827381
8.tyzden.2015;6;-92.672619
9.tyzden.2015;6;-125.095238
10.tyzden.2015;8;-145.083333
11.tyzden.2015;10;-70.404762
12.tyzden.2015;14;-245.625000
13.tyzden.2015;12;-111.982143
14.tyzden.2015;14;-78.220238
15.tyzden.2015;15;-112.619048
16.tyzden.2015;9;-199.851191
17.tyzden.2015;11;-85.154762
18.tyzden.2015;15;-70.505952
19.tyzden.2015;17;-94.029762
20.tyzden.2015;21;-193.880952
21.tyzden.2015;19;-64.934524
22.tyzden.2015;18;-53.863096
23.tyzden.2015;33;-45.857143
24.tyzden.2015;22;-178.601190
25.tyzden.2015;11;-119.946429
26.tyzden.2015;9;-217.904762
27.tyzden.2015;18;-86.065476
28.tyzden.2015;23;-115.583333
29.tyzden.2015;15;-118.946429
30.tyzden.2015;20;-115.077381
31.tyzden.2015;21;-123.029762
32.tyzden.2015;22;-127.773810
33.tyzden.2015;14;-186.904762
34.tyzden.2015;20;-194.142857
35.tyzden.2015;16;-242.875000
36.tyzden.2015;22;-122.601190
