Week;Usmrteni;Density
1.tyzden.2015;3;7.843750
2.tyzden.2015;3;6.013690
3.tyzden.2015;12;5.140476
4.tyzden.2015;9;9.723214
5.tyzden.2015;7;10.106548
6.tyzden.2015;1;4.758929
7.tyzden.2015;3;5.957738
8.tyzden.2015;5;8.556548
9.tyzden.2015;3;10.035119
tyzden.2015;5;5.698214
11.tyzden.2015;10;8.860714
12.tyzden.2015;9;8.352381
13.tyzden.2015;6;6.630952
tyzden.2015;2;7.410119
15.tyzden.2015;5;8.554167
16.tyzden.2015;4;10.413095
tyzden.2015;6;6.744643
18.tyzden.2015;12;7.106548
19.tyzden.2015;3;8.360714
20.tyzden.2015;3;7.066071
21.tyzden.2015;6;4.635119
22.tyzden.2015;6;8.333333
23.tyzden.2015;16;9.735714
24.tyzden.2015;1;5.232738
25.tyzden.2015;11;4.937500
26.tyzden.2015;10;4.989881
27.tyzden.2015;10;7.612500
28.tyzden.2015;2;4.990476
29.tyzden.2015;6;3.566667
30.tyzden.2015;7;8.511905
31.tyzden.2015;6;5.947619
32.tyzden.2015;11;4.576786
33.tyzden.2015;8;6.685714
34.tyzden.2015;9;4.907143
35.tyzden.2015;4;8.028571
36.tyzden.2015;10;5.957143
37.tyzden.2015;14;9.337500
38.tyzden.2015;8;5.663690
39.tyzden.2015;5;4.270833
40.tyzden.2015;9;6.989286
41.tyzden.2015;8;5.054167
42.tyzden.2015;17;7.076190
43.tyzden.2015;11;7.889286
44.tyzden.2015;9;7.020238
45.tyzden.2015;15;8.753571
46.tyzden.2015;15;4.763691
47.tyzden.2015;6;8.089881
48.tyzden.2015;8;12.613095
49.tyzden.2015;12;5.552976
50.tyzden.2015;8;3.705357
51.tyzden.2015;16;9.941071
52.tyzden.2015;10;7.171970
