Week;Usmrteni;Density
1.tyzden.2016;6;5.146667
2.tyzden.2016;11;4.029762
3.tyzden.2016;7;9.631548
4.tyzden.2016;6;8.819048
5.tyzden.2016;6;10.776190
6.tyzden.2016;4;9.239881
7.tyzden.2016;4;6.504167
8.tyzden.2016;7;8.530357
9.tyzden.2016;3;8.948810
10.tyzden.2016;0;8.131548
11.tyzden.2016;3;5.407143
12.tyzden.2016;2;7.090476
13.tyzden.2016;6;5.301786
14.tyzden.2016;0;8.888095
15.tyzden.2016;13;8.705357
16.tyzden.2016;3;6.591071
17.tyzden.2016;7;6.008333
18.tyzden.2016;3;6.133333
19.tyzden.2016;11;5.350000
20.tyzden.2016;5;5.108333
21.tyzden.2016;4;5.054762
22.tyzden.2016;2;7.872619
23.tyzden.2016;9;5.992262
24.tyzden.2016;7;3.892262
25.tyzden.2016;6;5.559524
26.tyzden.2016;11;7.829762
27.tyzden.2016;8;7.376786
28.tyzden.2016;9;3.307143
29.tyzden.2016;8;5.298214
30.tyzden.2016;5;9.042857
31.tyzden.2016;9;6.586310
32.tyzden.2016;3;3.119048
33.tyzden.2016;7;8.163095
34.tyzden.2016;5;5.239881
35.tyzden.2016;8;6.623810
36.tyzden.2016;5;3.773810
37.tyzden.2016;18;11.416071
38.tyzden.2016;11;7.378571
39.tyzden.2016;10;4.313690
40.tyzden.2016;4;4.311905
41.tyzden.2016;8;6.969643
42.tyzden.2016;9;5.344048
43.tyzden.2016;10;5.167857
44.tyzden.2016;8;6.482738
45.tyzden.2016;2;10.313095
46.tyzden.2016;8;6.115476
47.tyzden.2016;13;6.165476
48.tyzden.2016;8;7.665476
49.tyzden.2016;8;9.345238
50.tyzden.2016;9;5.515476
51.tyzden.2016;8;5.207143
52.tyzden.2016;4;6.529167
