Week;Usmrteni;Dst
1.tyzden.2017;0;-14.307292
2.tyzden.2017;4;-6.994048
3.tyzden.2017;7;-7.148809
4.tyzden.2017;13;-8.214286
5.tyzden.2017;6;-15.630952
6.tyzden.2017;7;-6.845238
7.tyzden.2017;6;-5.452381
8.tyzden.2017;6;-8.547619
9.tyzden.2017;5;-21.476190
10.tyzden.2017;4;-19.785714
11.tyzden.2017;7;-1.892857
12.tyzden.2017;8;-5.738095
13.tyzden.2017;13;-26.565476
14.tyzden.2017;5;-8.250000
15.tyzden.2017;6;-1.934524
16.tyzden.2017;6;-12.910714
17.tyzden.2017;3;-17.625000
18.tyzden.2017;6;7.636905
19.tyzden.2017;3;11.744048
20.tyzden.2017;5;-3.458333
21.tyzden.2017;2;-13.785714
22.tyzden.2017;13;-8.494047
23.tyzden.2017;9;3.345238
24.tyzden.2017;7;-5.136905
25.tyzden.2017;6;-4.636905
26.tyzden.2017;4;-0.315476
27.tyzden.2017;9;-3.470238
28.tyzden.2017;10;-8.380952
29.tyzden.2017;5;-23.541667
30.tyzden.2017;5;-12.880952
31.tyzden.2017;7;-0.005952
32.tyzden.2017;2;2.642857
33.tyzden.2017;4;-6.964286
34.tyzden.2017;12;-14.267857
35.tyzden.2017;9;-12.952381
36.tyzden.2017;7;-36.238095
37.tyzden.2017;14;-27.625000
38.tyzden.2017;8;-16.690476
39.tyzden.2017;7;-24.136905
40.tyzden.2017;8;-9.261905
41.tyzden.2017;21;-19.755952
42.tyzden.2017;8;-11.142857
43.tyzden.2017;3;-10.464286
44.tyzden.2017;2;-1.821429
45.tyzden.2017;6;-24.660714
46.tyzden.2017;2;-9.380952
47.tyzden.2017;3;-9.565476
48.tyzden.2017;9;2.345238
49.tyzden.2017;14;-7.994048
50.tyzden.2017;5;0.571428
51.tyzden.2017;7;0.404762
52.tyzden.2017;2;1.279762
