"Year";"Correlation";"parameter"
2018;0.444605040085386;"Proton flux over 30 MeV"
2018;0.439623845120782;"Proton flux over 60 MeV"
2018;0.299727380474308;"Proton flux over 10 MeV"
2018;-0.259025861916305;"Solar wind density"
2018;0.235010380114995;"Solar index_F10.7"
2018;0.113741222537562;"Solar wind speed"
2018;0.0931744725871731;"Lyman alpha solar index"
2018;0.0634066010476819;"Solar wind temperature"
2018;0.0459506602220329;"Dst index"
2018;0.0437177810031237;"R sunspot number"
2018;0.0296514429193369;"Ap index"
2018;-0.00518012547239254;"Kp index"
