Week;Zraneni;Temperature;
1.tyzden.2010;24;32214.930555
2.tyzden.2010;19;78969.750000
3.tyzden.2010;26;52563.023810
4.tyzden.2010;20;47339.803571
5.tyzden.2010;21;86450.595238
6.tyzden.2010;23;33617.886905
7.tyzden.2010;21;62968.690476
8.tyzden.2010;27;43178.732143
9.tyzden.2010;22;69815.119048
10.tyzden.2010;21;93505.755952
11.tyzden.2010;24;66140.303572
12.tyzden.2010;20;49015.214286
13.tyzden.2010;13;121704.511905
14.tyzden.2010;25;116358.851190
15.tyzden.2010;18;78993.113095
16.tyzden.2010;18;60965.160714
17.tyzden.2010;30;41690.702381
18.tyzden.2010;19;146568.880952
19.tyzden.2010;27;65043.821429
20.tyzden.2010;20;80260.636905
21.tyzden.2010;25;35800.880952
22.tyzden.2010;34;135238.886905
23.tyzden.2010;36;56945.690476
24.tyzden.2010;23;104792.553572
25.tyzden.2010;18;49187.869048
26.tyzden.2010;32;145190.595238
27.tyzden.2010;23;51974.482143
28.tyzden.2010;32;48132.892857
29.tyzden.2010;23;37655.625000
30.tyzden.2010;23;137442.130952
31.tyzden.2010;26;87985.434524
32.tyzden.2010;32;82051.535714
33.tyzden.2010;15;48241.880952
34.tyzden.2010;30;145638.761905
35.tyzden.2010;27;59189.672619
36.tyzden.2010;25;92851.059524
37.tyzden.2010;31;96092.559524
38.tyzden.2010;27;80874.964286
39.tyzden.2010;17;73669.083333
40.tyzden.2010;24;42904.767857
41.tyzden.2010;22;39375.761905
42.tyzden.2010;20;103896.922619
43.tyzden.2010;31;118301.880952
44.tyzden.2010;28;34202.755952
45.tyzden.2010;29;78922.601190
46.tyzden.2010;23;123828.660714
47.tyzden.2010;19;71788.452381
48.tyzden.2010;14;34928.785714
49.tyzden.2010;28;39925.619048
50.tyzden.2010;22;118487.232143
51.tyzden.2010;23;40509.095238
52.tyzden.2010;21;60600.930556
1.tyzden.2011;11;91540.023148
2.tyzden.2011;12;109855.053571
3.tyzden.2011;13;73039.380952
4.tyzden.2011;19;25294.244048
5.tyzden.2011;10;100872.029762
6.tyzden.2011;11;61494.452381
7.tyzden.2011;9;126887.458334
8.tyzden.2011;11;53916.523810
9.tyzden.2011;18;129179.535714
10.tyzden.2011;14;79899.875000
11.tyzden.2011;12;69265.488095
12.tyzden.2011;16;84090.345238
13.tyzden.2011;24;102848.500000
14.tyzden.2011;14;98992.863095
15.tyzden.2011;13;89798.029762
16.tyzden.2011;18;97567.291667
17.tyzden.2011;16;121459.625000
18.tyzden.2011;20;83563.404762
19.tyzden.2011;17;58798.571429
20.tyzden.2011;23;91083.047619
21.tyzden.2011;23;154931.809524
22.tyzden.2011;30;87856.565476
23.tyzden.2011;21;127996.773809
24.tyzden.2011;23;95707.898809
25.tyzden.2011;20;129376.541667
26.tyzden.2011;31;55808.785714
27.tyzden.2011;19;74144.077381
28.tyzden.2011;27;142582.476191
29.tyzden.2011;19;157926.488095
30.tyzden.2011;15;134322.690476
31.tyzden.2011;13;153217.458333
32.tyzden.2011;20;88556.839286
33.tyzden.2011;31;79437.309524
34.tyzden.2011;14;86465.726190
35.tyzden.2011;20;75410.005952
36.tyzden.2011;28;110043.232143
37.tyzden.2011;23;101667.541667
38.tyzden.2011;19;66720.738095
39.tyzden.2011;19;116042.755952
40.tyzden.2011;22;41790.898810
41.tyzden.2011;15;73410.386905
42.tyzden.2011;25;56306.470238
43.tyzden.2011;14;72801.833333
44.tyzden.2011;19;40720.309524
45.tyzden.2011;20;81879.113095
46.tyzden.2011;20;65432.654762
47.tyzden.2011;21;85682.095238
48.tyzden.2011;28;89326.529762
49.tyzden.2011;22;59263.511905
50.tyzden.2011;26;49119.821428
51.tyzden.2011;27;72568.369048
52.tyzden.2011;9;42503.618055
1.tyzden.2012;12;64917.911458
2.tyzden.2012;21;84303.047619
3.tyzden.2012;21;71159.130952
4.tyzden.2012;16;113479.684524
5.tyzden.2012;11;78540.458333
6.tyzden.2012;7;80773.619048
7.tyzden.2012;15;54444.583333
8.tyzden.2012;18;102750.273810
9.tyzden.2012;14;65026.232143
