Week;Zraneni;Proton60;
1.tyzden.2012;12;0.062865
2.tyzden.2012;21;0.062500
3.tyzden.2012;21;0.061845
4.tyzden.2012;16;4.722857
5.tyzden.2012;11;0.099821
6.tyzden.2012;7;0.060357
7.tyzden.2012;15;0.059226
8.tyzden.2012;18;0.061548
9.tyzden.2012;14;0.058155
10.tyzden.2012;14;28.293333
11.tyzden.2012;9;0.393452
12.tyzden.2012;13;0.059167
13.tyzden.2012;11;0.058691
14.tyzden.2012;11;0.056786
15.tyzden.2012;16;0.058810
16.tyzden.2012;17;0.059464
17.tyzden.2012;17;0.057679
18.tyzden.2012;27;0.059524
19.tyzden.2012;29;0.059286
20.tyzden.2012;12;1.324881
21.tyzden.2012;22;0.058809
22.tyzden.2012;16;0.057440
23.tyzden.2012;20;0.055952
24.tyzden.2012;20;0.058869
25.tyzden.2012;24;0.059464
26.tyzden.2012;14;0.057559
27.tyzden.2012;9;0.130119
28.tyzden.2012;13;0.156905
29.tyzden.2012;12;0.224702
30.tyzden.2012;18;0.438988
31.tyzden.2012;14;0.052798
32.tyzden.2012;22;0.051726
33.tyzden.2012;29;0.051607
34.tyzden.2012;28;0.053869
35.tyzden.2012;14;0.056667
36.tyzden.2012;17;0.053869
37.tyzden.2012;20;0.054167
38.tyzden.2012;22;0.055476
39.tyzden.2012;18;0.072976
40.tyzden.2012;26;0.053810
41.tyzden.2012;22;0.050536
42.tyzden.2012;32;0.053690
43.tyzden.2012;6;0.055119
44.tyzden.2012;23;0.053750
45.tyzden.2012;13;0.064583
46.tyzden.2012;18;0.053214
47.tyzden.2012;22;0.051607
48.tyzden.2012;20;0.052143
49.tyzden.2012;27;0.053512
50.tyzden.2012;17;0.053274
51.tyzden.2012;14;0.054286
52.tyzden.2012;20;0.055208
