Week;Zraneni;Proton60;
1.tyzden.2014;15;0.049000
2.tyzden.2014;15;2.220298
3.tyzden.2014;11;0.050119
4.tyzden.2014;8;0.050774
5.tyzden.2014;15;0.050000
6.tyzden.2014;21;0.048750
7.tyzden.2014;19;0.049107
8.tyzden.2014;24;0.061845
9.tyzden.2014;11;0.522619
10.tyzden.2014;20;0.050536
11.tyzden.2014;11;0.047857
12.tyzden.2014;13;0.048214
13.tyzden.2014;12;0.051191
14.tyzden.2014;15;0.048690
15.tyzden.2014;23;0.048333
16.tyzden.2014;11;0.131012
17.tyzden.2014;10;0.047321
18.tyzden.2014;14;0.051547
19.tyzden.2014;11;0.051429
20.tyzden.2014;17;0.050298
21.tyzden.2014;19;0.049286
22.tyzden.2014;13;0.049643
23.tyzden.2014;20;0.050595
24.tyzden.2014;16;0.051547
25.tyzden.2014;13;0.046369
26.tyzden.2014;11;0.049048
27.tyzden.2014;16;0.050179
28.tyzden.2014;25;0.050000
29.tyzden.2014;22;0.049048
30.tyzden.2014;17;0.050595
31.tyzden.2014;12;0.051191
32.tyzden.2014;9;0.050417
33.tyzden.2014;16;0.051190
34.tyzden.2014;24;0.051429
35.tyzden.2014;11;0.054107
36.tyzden.2014;17;0.476309
37.tyzden.2014;11;0.275238
38.tyzden.2014;17;0.056488
39.tyzden.2014;17;0.060595
40.tyzden.2014;17;0.050298
41.tyzden.2014;19;0.052619
42.tyzden.2014;16;0.057441
43.tyzden.2014;25;0.050119
44.tyzden.2014;13;0.052798
45.tyzden.2014;19;0.051310
46.tyzden.2014;11;0.053512
47.tyzden.2014;14;0.056548
48.tyzden.2014;21;0.053393
49.tyzden.2014;18;0.048393
50.tyzden.2014;20;0.061905
51.tyzden.2014;18;0.060833
52.tyzden.2014;18;0.047333
