"Week";"Correlation"
1;-0.158768877874499
2;-0.146981926795504
3;-0.149224779391135
4;-0.15173031277828
5;-0.152899380185643
6;-0.148088434507679
7;-0.138271836896438
8;-0.140968137871047
9;-0.1319789725065
10;-0.135938551704012
11;-0.125976467831188
12;-0.125113376511647
13;-0.127522762648666
14;-0.127413769544589
15;-0.129160689464202
16;-0.125435367013292
17;-0.116401555785563
18;-0.108146776492457
19;-0.111292855852947
20;-0.10198592445746
21;-0.0836794905640768
22;-0.0938458297763951
23;-0.123752736441099
24;-0.115021964241516
25;-0.120920715242408
26;-0.125053070717178
27;-0.143582119090135
28;-0.137942943991173
29;-0.121713613471422
30;-0.114286012160901
31;-0.117447106376704
32;-0.127552931030415
33;-0.123431385985762
34;-0.119782959520329
35;-0.136934100985782
36;-0.124830791243235
37;-0.122829629860894
38;-0.117007828588218
39;-0.113773069105017
40;-0.107628584309401
41;-0.0930335266766417
42;-0.0916044570301266
43;-0.0915944206920729
44;-0.0917655083587909
45;-0.0782474819541042
46;-0.0772812773874751
47;-0.0751676014479169
48;-0.0595503731740773
49;-0.059201269839634
50;-0.0432372256039693
51;-0.0385617608785305
52;-0.031915340103298
53;-0.0323177495192859
54;-0.0356479007803372
55;-0.0327478495063755
56;-0.0260885886346304
57;-0.0229581629195481
58;-0.0130997367868235
59;-0.0195238271858394
60;-0.0172382835682091
61;-0.0150113709645303
62;-0.0125443162687675
63;-0.00855884111446898
64;-0.0109952194275989
65;-0.00966166650247805
66;-0.00898149794212583
67;-0.00620040581057998
68;-0.00400570537585305
69;-0.0090226060405745
70;-0.0105370575719696
71;-0.0100379009144293
72;-0.0125085430764893
73;-0.00981738528309067
74;-0.0170936083753124
75;-0.0251013911595291
76;-0.0261397957905658
77;-0.0246923589778906
78;-0.0293231033593506
79;-0.0150710856593789
80;-0.0147649229924797
81;-0.0166037269394562
82;-0.0238479604577075
83;-0.0234579867203446
84;-0.0213130284049761
85;-0.0226661501851603
86;-0.014455363502572
87;-0.0179275933746152
88;-0.0263351658107643
89;-0.0400585387599299
90;-0.0537434181932576
91;-0.0517113436994276
92;-0.0580517005920433
93;-0.0607860314779499
94;-0.0627644545027757
95;-0.0541304560373997
96;-0.0378625783835922
97;-0.039809133837858
98;-0.0330217458122791
99;-0.0384326999976796
100;-0.0407280075793882
101;-0.0450100688802371
102;-0.0359215513888897
103;-0.0130232711286295
104;0.000330801524680667
105;-0.00651063649469938
106;-0.0242111821828106
107;-0.0401385309221807
108;-0.0414314731997152
109;-0.0399914840199785
110;-0.0300692725004205
111;-0.036645177630388
112;-0.0229680083547041
113;-0.0330058243428247
114;-0.0415136788516989
115;-0.0483414819622912
116;-0.0246562728041121
117;-0.0343304020962414
118;-0.0412215497703874
119;-0.0424441390284386
120;-0.0430988889304555
121;-0.0596319739410836
122;-0.0597179244296881
123;-0.0448140447612152
124;-0.05990312605268
125;-0.0544111099689179
126;-0.0562576832540073
127;-0.0573662821183831
128;-0.0847682434613968
129;-0.0755680951027921
130;-0.0668827960524382
131;-0.0848968018444902
132;-0.0750063476500616
133;-0.0650686736234377
134;-0.0598671448459261
135;-0.0585398453548195
136;-0.0544388330880965
137;-0.0483672556708517
138;-0.0602135960866349
139;-0.0613264498442813
140;-0.0637045772352312
141;-0.0606177357375867
142;-0.0395287511463568
143;-0.0212738132889685
144;-0.0192726738992709
145;-0.0150050991747043
146;-0.0408266244750063
147;-0.0200831661784244
148;-0.0352222352242521
149;-0.0298843765336223
150;-0.0307575973959422
151;-0.0320032933430519
152;-0.0318379557930015
153;-0.0304661283414009
154;-0.00755323810245639
