Week;Zraneni;Sunspot;
1.tyzden.2013;17;132.666667
2.tyzden.2013;22;150.571429
3.tyzden.2013;10;74.142857
4.tyzden.2013;21;56.285714
5.tyzden.2013;15;61.571429
6.tyzden.2013;11;50.428571
7.tyzden.2013;11;50.000000
8.tyzden.2013;11;79.285714
9.tyzden.2013;13;71.000000
10.tyzden.2013;12;81.142857
11.tyzden.2013;17;112.714286
12.tyzden.2013;9;58.857143
13.tyzden.2013;16;56.285714
14.tyzden.2013;7;103.428571
15.tyzden.2013;13;125.000000
16.tyzden.2013;14;90.857143
17.tyzden.2013;15;99.142857
18.tyzden.2013;14;123.857143
19.tyzden.2013;16;123.285714
20.tyzden.2013;34;162.142857
21.tyzden.2013;12;112.285714
22.tyzden.2013;11;71.714286
23.tyzden.2013;15;54.142857
24.tyzden.2013;25;55.000000
25.tyzden.2013;14;124.285714
26.tyzden.2013;18;75.714286
27.tyzden.2013;11;113.285714
28.tyzden.2013;21;80.000000
29.tyzden.2013;25;74.142857
30.tyzden.2013;16;72.000000
31.tyzden.2013;25;99.714286
32.tyzden.2013;27;77.857143
33.tyzden.2013;26;105.142857
34.tyzden.2013;12;116.285714
35.tyzden.2013;19;60.142857
36.tyzden.2013;19;59.428571
37.tyzden.2013;19;31.142857
38.tyzden.2013;20;64.142857
39.tyzden.2013;14;60.571429
40.tyzden.2013;9;58.857143
41.tyzden.2013;24;108.714286
42.tyzden.2013;23;131.428571
43.tyzden.2013;19;133.142857
44.tyzden.2013;18;129.000000
45.tyzden.2013;19;129.714286
46.tyzden.2013;20;159.142857
47.tyzden.2013;10;87.857143
48.tyzden.2013;13;81.857143
49.tyzden.2013;20;108.285714
50.tyzden.2013;12;152.857143
51.tyzden.2013;18;130.285714
52.tyzden.2013;20;109.444444
1.tyzden.2014;15;136.000000
2.tyzden.2014;15;135.142857
3.tyzden.2014;11;98.000000
4.tyzden.2014;8;125.000000
5.tyzden.2014;15;93.000000
6.tyzden.2014;21;150.000000
7.tyzden.2014;19;135.571429
8.tyzden.2014;24;133.142857
9.tyzden.2014;11;180.000000
10.tyzden.2014;20;134.857143
11.tyzden.2014;11;115.714286
12.tyzden.2014;13;137.857143
13.tyzden.2014;12;120.142857
14.tyzden.2014;15;125.000000
15.tyzden.2014;23;86.285714
16.tyzden.2014;11;166.428571
17.tyzden.2014;10;87.000000
18.tyzden.2014;14;98.857143
19.tyzden.2014;11;136.285714
20.tyzden.2014;17;147.285714
21.tyzden.2014;19;92.714286
22.tyzden.2014;13;66.142857
23.tyzden.2014;20;97.285714
24.tyzden.2014;16;154.571429
25.tyzden.2014;13;93.857143
26.tyzden.2014;11;67.142857
27.tyzden.2014;16;161.285714
28.tyzden.2014;25;150.285714
29.tyzden.2014;22;25.000000
30.tyzden.2014;17;54.714286
31.tyzden.2014;12;140.285714
32.tyzden.2014;9;106.285714
33.tyzden.2014;16;91.571429
34.tyzden.2014;24;120.571429
35.tyzden.2014;11;86.142857
36.tyzden.2014;17;121.571429
37.tyzden.2014;11;144.714286
38.tyzden.2014;17;95.285714
39.tyzden.2014;17;144.428571
40.tyzden.2014;17;132.857143
41.tyzden.2014;19;52.142857
42.tyzden.2014;16;70.285714
43.tyzden.2014;25;125.428571
44.tyzden.2014;13;95.714286
45.tyzden.2014;19;103.714286
46.tyzden.2014;11;96.857143
47.tyzden.2014;14;78.857143
48.tyzden.2014;21;137.857143
49.tyzden.2014;18;93.285714
50.tyzden.2014;20;107.285714
51.tyzden.2014;18;160.428571
52.tyzden.2014;18;97.200000
1.tyzden.2015;6;108.250000
2.tyzden.2015;6;102.571429
3.tyzden.2015;22;74.857143
4.tyzden.2015;9;56.571429
5.tyzden.2015;24;132.285714
6.tyzden.2015;12;88.571429
7.tyzden.2015;4;66.142857
8.tyzden.2015;6;60.142857
9.tyzden.2015;6;45.142857
10.tyzden.2015;8;33.857143
11.tyzden.2015;10;47.714286
12.tyzden.2015;14;43.000000
13.tyzden.2015;12;95.000000
14.tyzden.2015;14;44.428571
15.tyzden.2015;15;54.285714
16.tyzden.2015;9;114.000000
17.tyzden.2015;11;103.857143
18.tyzden.2015;15;32.857143
19.tyzden.2015;17;132.571429
20.tyzden.2015;21;140.000000
21.tyzden.2015;19;72.857143
22.tyzden.2015;18;34.142857
23.tyzden.2015;33;74.714286
24.tyzden.2015;22;96.714286
25.tyzden.2015;11;67.714286
26.tyzden.2015;9;34.285714
27.tyzden.2015;18;72.142857
28.tyzden.2015;23;101.142857
29.tyzden.2015;15;48.714286
30.tyzden.2015;20;34.571429
31.tyzden.2015;21;63.142857
32.tyzden.2015;22;90.571429
33.tyzden.2015;14;55.857143
34.tyzden.2015;20;58.857143
35.tyzden.2015;16;58.285714
36.tyzden.2015;22;35.714286
37.tyzden.2015;21;63.142857
38.tyzden.2015;24;69.285714
39.tyzden.2015;18;120.571429
40.tyzden.2015;14;84.285714
41.tyzden.2015;14;25.714286
42.tyzden.2015;19;59.857143
43.tyzden.2015;14;87.428571
44.tyzden.2015;18;81.142857
45.tyzden.2015;18;88.428571
46.tyzden.2015;16;58.285714
47.tyzden.2015;19;47.142857
48.tyzden.2015;19;57.857143
49.tyzden.2015;15;43.000000
50.tyzden.2015;17;74.428571
51.tyzden.2015;21;56.285714
52.tyzden.2015;22;56.363636
