Week;Usmrteni;AL;
1.tyzden.2013;5;-19.222222
2.tyzden.2013;3;-38.755952
3.tyzden.2013;2;-81.964286
4.tyzden.2013;6;-59.285714
5.tyzden.2013;4;-38.494048
6.tyzden.2013;4;-59.202381
7.tyzden.2013;3;-101.130952
8.tyzden.2013;1;-93.285714
9.tyzden.2013;10;-109.845238
10.tyzden.2013;6;-38.988095
11.tyzden.2013;3;-125.988095
12.tyzden.2013;8;-91.803572
13.tyzden.2013;6;-139.678571
14.tyzden.2013;1;-51.327381
15.tyzden.2013;5;-39.565476
16.tyzden.2013;4;-31.910714
17.tyzden.2013;2;-124.625000
18.tyzden.2013;6;-139.922619
19.tyzden.2013;2;-64.416667
20.tyzden.2013;3;-147.208333
21.tyzden.2013;3;-183.291667
22.tyzden.2013;1;-152.035714
23.tyzden.2013;1;-168.303571
24.tyzden.2013;7;-56.755952
25.tyzden.2013;5;-146.035714
26.tyzden.2013;7;-210.351190
27.tyzden.2013;7;-138.089286
28.tyzden.2013;9;-239.839286
29.tyzden.2013;12;-112.958333
30.tyzden.2013;4;-118.226190
31.tyzden.2013;16;-76.517857
32.tyzden.2013;10;-86.017857
33.tyzden.2013;10;-132.577381
34.tyzden.2013;5;-137.672619
35.tyzden.2013;3;-126.922619
36.tyzden.2013;7;-62.779762
37.tyzden.2013;8;-59.827381
38.tyzden.2013;12;-87.851190
39.tyzden.2013;5;-44.148810
40.tyzden.2013;6;-80.500000
41.tyzden.2013;10;-99.136905
42.tyzden.2013;6;-116.833333
43.tyzden.2013;14;-20.529762
44.tyzden.2013;3;-74.315476
45.tyzden.2013;6;-107.351191
46.tyzden.2013;9;-91.500000
47.tyzden.2013;4;-32.976190
48.tyzden.2013;10;-50.220238
49.tyzden.2013;12;-72.702381
50.tyzden.2013;9;-51.458333
51.tyzden.2013;11;-49.089286
52.tyzden.2013;8;-38.574074
1.tyzden.2014;6;-130.941667
2.tyzden.2014;11;-63.904762
3.tyzden.2014;12;-29.440476
4.tyzden.2014;7;-75.458333
5.tyzden.2014;8;-46.976190
6.tyzden.2014;7;-93.321429
7.tyzden.2014;14;-63.523810
8.tyzden.2014;5;-216.565476
9.tyzden.2014;2;-80.125000
10.tyzden.2014;2;-50.880953
11.tyzden.2014;7;-55.130952
12.tyzden.2014;10;-51.494048
13.tyzden.2014;2;-66.994048
14.tyzden.2014;3;-63.714285
15.tyzden.2014;3;-124.148809
16.tyzden.2014;3;-79.273810
17.tyzden.2014;16;-103.053571
18.tyzden.2014;3;-106.535714
19.tyzden.2014;3;-117.339286
20.tyzden.2014;6;-51.666667
21.tyzden.2014;7;-81.666667
22.tyzden.2014;6;-60.297619
23.tyzden.2014;17;-86.291667
24.tyzden.2014;6;-61.476190
25.tyzden.2014;3;-99.738095
26.tyzden.2014;7;-56.404762
27.tyzden.2014;4;-51.904762
28.tyzden.2014;6;-83.809524
29.tyzden.2014;7;-41.934524
30.tyzden.2014;3;-52.821429
31.tyzden.2014;2;-70.976190
32.tyzden.2014;13;-102.065476
33.tyzden.2014;7;-58.654762
