Week;Zraneni;Lyman
1.tyzden.2014;15;4.888000
2.tyzden.2014;15;5.035714
3.tyzden.2014;11;4.634286
4.tyzden.2014;8;4.754286
5.tyzden.2014;15;4.834286
6.tyzden.2014;21;5.107143
7.tyzden.2014;19;4.714286
8.tyzden.2014;24;4.647143
9.tyzden.2014;11;5.072857
10.tyzden.2014;20;4.968571
11.tyzden.2014;11;4.755714
12.tyzden.2014;13;4.942857
13.tyzden.2014;12;5.050000
14.tyzden.2014;15;4.905714
15.tyzden.2014;23;4.708571
16.tyzden.2014;11;5.078571
17.tyzden.2014;10;4.787143
18.tyzden.2014;14;4.620000
19.tyzden.2014;11;4.711429
20.tyzden.2014;17;4.958571
21.tyzden.2014;19;4.584286
22.tyzden.2014;13;4.408571
23.tyzden.2014;20;4.592857
24.tyzden.2014;16;4.864286
25.tyzden.2014;13;4.464286
26.tyzden.2014;11;4.224286
27.tyzden.2014;16;5.081429
28.tyzden.2014;25;5.061429
29.tyzden.2014;22;4.230000
30.tyzden.2014;17;4.161429
31.tyzden.2014;12;5.025714
32.tyzden.2014;9;4.778571
33.tyzden.2014;16;4.274286
34.tyzden.2014;24;4.495714
35.tyzden.2014;11;4.797143
36.tyzden.2014;17;4.668571
37.tyzden.2014;11;4.788571
38.tyzden.2014;17;4.612857
39.tyzden.2014;17;4.800000
40.tyzden.2014;17;4.895714
41.tyzden.2014;19;4.742857
42.tyzden.2014;16;4.612857
43.tyzden.2014;25;5.015714
44.tyzden.2014;13;4.737143
45.tyzden.2014;19;4.651429
46.tyzden.2014;11;4.814286
47.tyzden.2014;14;5.117143
48.tyzden.2014;21;4.974286
49.tyzden.2014;18;4.794286
50.tyzden.2014;20;4.917143
51.tyzden.2014;18;5.281429
52.tyzden.2014;18;4.746000
