Week;Usmrteni;Speed;
1.tyzden.2013;5;314.381944
2.tyzden.2013;3;347.363095
3.tyzden.2013;2;435.369048
4.tyzden.2013;6;362.035714
5.tyzden.2013;4;377.934524
6.tyzden.2013;4;373.261905
7.tyzden.2013;3;361.065476
8.tyzden.2013;1;364.327381
9.tyzden.2013;10;409.166667
10.tyzden.2013;6;346.386905
11.tyzden.2013;3;388.928571
12.tyzden.2013;8;446.880952
13.tyzden.2013;6;445.904762
14.tyzden.2013;1;332.678572
15.tyzden.2013;5;399.726191
16.tyzden.2013;4;325.982143
17.tyzden.2013;2;407.607143
18.tyzden.2013;6;400.059524
19.tyzden.2013;2;451.208333
20.tyzden.2013;3;382.083333
21.tyzden.2013;3;482.255952
22.tyzden.2013;1;561.857143
23.tyzden.2013;1;498.041667
24.tyzden.2013;7;366.190476
25.tyzden.2013;5;418.005952
26.tyzden.2013;7;459.750000
27.tyzden.2013;7;380.029762
28.tyzden.2013;9;393.416667
29.tyzden.2013;12;431.696429
30.tyzden.2013;4;411.565476
31.tyzden.2013;16;358.809524
32.tyzden.2013;10;428.851190
33.tyzden.2013;10;517.529762
34.tyzden.2013;5;463.714286
35.tyzden.2013;3;403.428572
36.tyzden.2013;7;406.244048
37.tyzden.2013;8;409.732143
38.tyzden.2013;12;425.619048
39.tyzden.2013;5;338.696428
40.tyzden.2013;6;377.154762
41.tyzden.2013;10;395.928572
42.tyzden.2013;6;410.476191
43.tyzden.2013;14;313.601191
44.tyzden.2013;3;336.244048
45.tyzden.2013;6;405.095238
46.tyzden.2013;9;417.583333
47.tyzden.2013;4;352.220238
48.tyzden.2013;10;338.464286
49.tyzden.2013;12;392.898809
50.tyzden.2013;9;392.291667
51.tyzden.2013;11;369.113095
52.tyzden.2013;8;312.856482
1.tyzden.2014;6;495.616667
2.tyzden.2014;11;400.851190
3.tyzden.2014;12;469.035714
4.tyzden.2014;7;382.035714
5.tyzden.2014;8;364.041667
6.tyzden.2014;7;384.529762
7.tyzden.2014;14;405.892857
8.tyzden.2014;5;463.779762
9.tyzden.2014;2;405.535714
10.tyzden.2014;2;394.232143
11.tyzden.2014;7;354.119048
12.tyzden.2014;10;356.285714
13.tyzden.2014;2;416.898810
14.tyzden.2014;3;408.053571
15.tyzden.2014;3;384.261905
16.tyzden.2014;3;417.892857
17.tyzden.2014;16;435.434524
18.tyzden.2014;3;321.345238
19.tyzden.2014;3;363.035714
20.tyzden.2014;6;351.940476
21.tyzden.2014;7;380.690476
22.tyzden.2014;6;327.976190
23.tyzden.2014;17;361.708333
24.tyzden.2014;6;435.071429
25.tyzden.2014;3;406.797619
26.tyzden.2014;7;332.470238
27.tyzden.2014;4;312.702381
28.tyzden.2014;6;343.744048
29.tyzden.2014;7;356.934524
30.tyzden.2014;3;330.982143
31.tyzden.2014;2;361.797619
32.tyzden.2014;13;394.220238
33.tyzden.2014;7;372.023810
34.tyzden.2014;17;325.089286
35.tyzden.2014;7;345.636905
36.tyzden.2014;11;391.404762
37.tyzden.2014;6;448.761905
38.tyzden.2014;8;435.910714
39.tyzden.2014;8;423.982143
40.tyzden.2014;5;368.410714
41.tyzden.2014;6;350.178572
42.tyzden.2014;3;412.500000
43.tyzden.2014;6;452.089286
44.tyzden.2014;5;412.934524
45.tyzden.2014;2;453.196428
46.tyzden.2014;12;511.029762
47.tyzden.2014;4;408.607143
48.tyzden.2014;10;363.636905
49.tyzden.2014;5;513.380952
50.tyzden.2014;5;519.440476
51.tyzden.2014;4;391.958334
52.tyzden.2014;11;478.075000
1.tyzden.2015;3;443.843750
2.tyzden.2015;3;466.803571
3.tyzden.2015;12;386.880952
4.tyzden.2015;9;369.791666
5.tyzden.2015;7;431.148810
6.tyzden.2015;1;495.464286
7.tyzden.2015;3;357.863095
8.tyzden.2015;5;362.297619
9.tyzden.2015;3;424.684524
10.tyzden.2015;5;506.589286
11.tyzden.2015;10;382.559524
12.tyzden.2015;9;562.559524
13.tyzden.2015;6;471.041667
14.tyzden.2015;2;447.898810
15.tyzden.2015;5;386.672619
16.tyzden.2015;4;477.452381
17.tyzden.2015;6;423.404762
18.tyzden.2015;12;345.869048
19.tyzden.2015;3;390.494048
20.tyzden.2015;3;483.178571
21.tyzden.2015;6;398.190476
22.tyzden.2015;6;341.285714
23.tyzden.2015;16;310.785714
24.tyzden.2015;1;554.375000
25.tyzden.2015;11;421.583333
26.tyzden.2015;10;550.351190
27.tyzden.2015;10;389.327381
28.tyzden.2015;2;458.934524
29.tyzden.2015;6;438.244048
30.tyzden.2015;7;388.720238
31.tyzden.2015;6;469.345238
32.tyzden.2015;11;477.321429
33.tyzden.2015;8;425.202381
34.tyzden.2015;9;474.220238
35.tyzden.2015;4;407.452381
36.tyzden.2015;10;420.863095
37.tyzden.2015;14;489.619048
38.tyzden.2015;8;462.904762
39.tyzden.2015;5;487.011905
40.tyzden.2015;9;361.035714
41.tyzden.2015;8;550.994048
42.tyzden.2015;17;446.190476
43.tyzden.2015;11;420.750000
44.tyzden.2015;9;345.636905
45.tyzden.2015;15;517.172619
46.tyzden.2015;15;516.184524
47.tyzden.2015;6;383.785714
48.tyzden.2015;8;308.970238
49.tyzden.2015;12;443.547619
50.tyzden.2015;8;555.464286
51.tyzden.2015;16;447.928572
52.tyzden.2015;10;454.564394
