Week;Usmrteni;Proton30;
1.tyzden.2010;9;0.129074
2.tyzden.2010;6;0.123452
3.tyzden.2010;8;0.121488
4.tyzden.2010;5;0.120952
5.tyzden.2010;6;0.119583
6.tyzden.2010;4;0.115298
7.tyzden.2010;9;0.114702
8.tyzden.2010;6;0.121905
9.tyzden.2010;0;0.120714
10.tyzden.2010;2;0.105774
11.tyzden.2010;7;0.112381
12.tyzden.2010;9;0.114702
13.tyzden.2010;5;0.114881
14.tyzden.2010;3;0.096845
15.tyzden.2010;4;0.115298
16.tyzden.2010;4;0.119286
17.tyzden.2010;10;0.114821
18.tyzden.2010;4;0.103690
19.tyzden.2010;5;0.112143
20.tyzden.2010;3;0.122203
21.tyzden.2010;3;0.111310
22.tyzden.2010;5;0.107500
23.tyzden.2010;6;0.117857
24.tyzden.2010;9;0.114464
25.tyzden.2010;3;0.111309
26.tyzden.2010;9;0.105655
27.tyzden.2010;10;0.112262
28.tyzden.2010;10;0.122560
29.tyzden.2010;8;0.121429
30.tyzden.2010;4;0.105357
31.tyzden.2010;3;0.111012
32.tyzden.2010;6;0.155952
33.tyzden.2010;5;0.149881
34.tyzden.2010;19;0.105357
35.tyzden.2010;6;0.115357
36.tyzden.2010;9;0.119583
37.tyzden.2010;5;0.106250
38.tyzden.2010;10;0.109107
39.tyzden.2010;7;0.107678
40.tyzden.2010;5;0.115000
41.tyzden.2010;10;0.108929
42.tyzden.2010;7;0.108452
43.tyzden.2010;12;0.102262
44.tyzden.2010;5;0.112976
45.tyzden.2010;9;0.111667
46.tyzden.2010;11;0.104226
47.tyzden.2010;16;0.109703
48.tyzden.2010;5;0.110952
49.tyzden.2010;8;0.110357
50.tyzden.2010;2;0.097619
51.tyzden.2010;8;0.111071
52.tyzden.2010;1;0.109514
1.tyzden.2011;11;0.101019
2.tyzden.2011;6;0.100298
3.tyzden.2011;9;0.102738
4.tyzden.2011;6;0.128452
5.tyzden.2011;1;0.101131
6.tyzden.2011;12;0.103691
7.tyzden.2011;6;0.111191
8.tyzden.2011;2;0.094881
9.tyzden.2011;11;0.088512
10.tyzden.2011;9;0.477679
11.tyzden.2011;8;0.090655
12.tyzden.2011;6;0.303929
13.tyzden.2011;10;0.085060
14.tyzden.2011;7;0.085238
15.tyzden.2011;6;0.085417
16.tyzden.2011;10;0.085417
17.tyzden.2011;10;0.084286
18.tyzden.2011;6;0.084940
19.tyzden.2011;2;0.087738
20.tyzden.2011;14;0.086369
21.tyzden.2011;10;0.085417
22.tyzden.2011;11;0.104107
23.tyzden.2011;9;2.418512
24.tyzden.2011;6;0.121488
25.tyzden.2011;9;0.079405
26.tyzden.2011;7;0.083036
27.tyzden.2011;10;0.082857
28.tyzden.2011;17;0.082024
29.tyzden.2011;10;0.082560
30.tyzden.2011;6;0.083452
31.tyzden.2011;5;1.423155
32.tyzden.2011;6;0.466845
33.tyzden.2011;10;0.083512
34.tyzden.2011;11;0.082381
35.tyzden.2011;4;0.085417
36.tyzden.2011;6;0.295119
37.tyzden.2011;10;0.079941
38.tyzden.2011;16;0.350893
39.tyzden.2011;6;0.163274
