Week;Usmrteni;Proton60;
1.tyzden.2018;0;0.107917
2.tyzden.2018;2;0.110417
3.tyzden.2018;8;0.117679
4.tyzden.2018;4;0.113809
5.tyzden.2018;6;0.110655
6.tyzden.2018;4;0.113036
7.tyzden.2018;4;0.118750
8.tyzden.2018;0;0.114822
9.tyzden.2018;2;0.112857
10.tyzden.2018;8;0.114167
11.tyzden.2018;1;0.118036
12.tyzden.2018;7;0.115952
13.tyzden.2018;5;0.112381
14.tyzden.2018;5;0.115952
15.tyzden.2018;11;0.117381
16.tyzden.2018;3;0.117560
17.tyzden.2018;8;0.112976
18.tyzden.2018;2;0.116548
19.tyzden.2018;8;0.113036
20.tyzden.2018;5;0.117679
21.tyzden.2018;7;0.112679
22.tyzden.2018;10;0.116131
23.tyzden.2018;8;0.122678
24.tyzden.2018;3;0.127024
25.tyzden.2018;4;0.113691
26.tyzden.2018;7;0.114702
27.tyzden.2018;8;0.123036
28.tyzden.2018;5;0.125000
29.tyzden.2018;6;0.121071
30.tyzden.2018;4;0.121845
31.tyzden.2018;9;0.125774
32.tyzden.2018;12;0.122321
33.tyzden.2018;8;0.123214
34.tyzden.2018;8;0.119702
35.tyzden.2018;6;0.125893
36.tyzden.2018;5;0.125536
37.tyzden.2018;2;0.122500
38.tyzden.2018;11;0.122798
39.tyzden.2018;12;0.124286
40.tyzden.2018;10;0.128095
41.tyzden.2018;4;0.122559
42.tyzden.2018;4;0.122083
43.tyzden.2018;5;0.126250
44.tyzden.2018;7;0.129762
45.tyzden.2018;8;0.121369
46.tyzden.2018;7;0.120357
47.tyzden.2018;5;0.127083
48.tyzden.2018;13;0.130357
49.tyzden.2018;7;0.122917
50.tyzden.2018;8;0.123214
51.tyzden.2018;8;0.127917
52.tyzden.2018;4;0.130714
