Week;Nehodovost;AE;
1.tyzden.2014;148;179.450000
2.tyzden.2014;195;103.726191
3.tyzden.2014;216;56.583333
4.tyzden.2014;241;102.160714
5.tyzden.2014;249;66.220238
6.tyzden.2014;200;147.345238
7.tyzden.2014;228;101.255952
8.tyzden.2014;222;298.035714
9.tyzden.2014;196;120.726191
10.tyzden.2014;228;77.339286
11.tyzden.2014;234;92.184524
12.tyzden.2014;253;88.672619
13.tyzden.2014;211;102.750000
14.tyzden.2014;219;100.553572
15.tyzden.2014;250;209.636905
16.tyzden.2014;245;150.154762
17.tyzden.2014;224;172.750000
18.tyzden.2014;256;194.440476
19.tyzden.2014;256;204.416667
20.tyzden.2014;260;96.613095
21.tyzden.2014;310;143.815476
22.tyzden.2014;247;107.595238
23.tyzden.2014;276;168.107143
24.tyzden.2014;268;118.654762
25.tyzden.2014;245;189.089286
26.tyzden.2014;281;108.815476
27.tyzden.2014;248;103.255952
28.tyzden.2014;260;174.511905
29.tyzden.2014;281;76.184524
30.tyzden.2014;263;107.863095
31.tyzden.2014;238;139.226190
32.tyzden.2014;250;186.113095
33.tyzden.2014;246;110.250000
34.tyzden.2014;248;139.916667
35.tyzden.2014;255;281.285714
36.tyzden.2014;220;197.988095
37.tyzden.2014;250;145.791667
38.tyzden.2014;236;98.011905
39.tyzden.2014;247;278.827381
40.tyzden.2014;303;164.666667
41.tyzden.2014;279;157.148809
42.tyzden.2014;304;180.035714
43.tyzden.2014;298;276.672619
44.tyzden.2014;259;149.369048
45.tyzden.2014;253;143.297619
46.tyzden.2014;260;182.392857
47.tyzden.2014;253;198.738095
48.tyzden.2014;234;97.642857
49.tyzden.2014;276;199.202381
50.tyzden.2014;273;211.172619
51.tyzden.2014;323;179.107143
52.tyzden.2014;305;201.404167
1.tyzden.2015;103;231.916667
2.tyzden.2015;103;188.976191
3.tyzden.2015;259;111.000000
4.tyzden.2015;217;116.958333
5.tyzden.2015;240;193.958333
6.tyzden.2015;205;202.511905
7.tyzden.2015;239;85.625000
8.tyzden.2015;220;172.666667
9.tyzden.2015;181;204.458333
10.tyzden.2015;206;225.011905
11.tyzden.2015;225;117.791667
12.tyzden.2015;221;345.970238
13.tyzden.2015;236;192.166666
14.tyzden.2015;211;129.077381
15.tyzden.2015;213;183.541667
16.tyzden.2015;240;314.345238
17.tyzden.2015;257;145.482143
18.tyzden.2015;230;135.238095
19.tyzden.2015;220;166.886905
20.tyzden.2015;251;324.035714
21.tyzden.2015;256;120.839286
22.tyzden.2015;287;108.708333
23.tyzden.2015;310;91.053571
24.tyzden.2015;282;308.678571
25.tyzden.2015;258;215.321428
26.tyzden.2015;256;366.178571
27.tyzden.2015;273;151.779762
28.tyzden.2015;246;206.351190
29.tyzden.2015;275;206.833333
30.tyzden.2015;284;198.238095
31.tyzden.2015;235;214.279762
32.tyzden.2015;266;240.607143
33.tyzden.2015;269;309.101190
34.tyzden.2015;295;305.226190
35.tyzden.2015;272;402.410714
36.tyzden.2015;276;202.553572
37.tyzden.2015;269;429.083333
38.tyzden.2015;264;293.773810
39.tyzden.2015;285;120.071428
40.tyzden.2015;285;236.523810
41.tyzden.2015;261;447.184524
42.tyzden.2015;296;300.470238
43.tyzden.2015;274;123.839286
44.tyzden.2015;287;109.636905
45.tyzden.2015;279;326.571429
46.tyzden.2015;285;305.690476
47.tyzden.2015;260;147.684524
48.tyzden.2015;283;78.982143
49.tyzden.2015;284;225.660714
50.tyzden.2015;292;232.934524
51.tyzden.2015;302;238.666667
52.tyzden.2015;349;186.359849
1.tyzden.2016;241;158.550000
2.tyzden.2016;251;133.160714
3.tyzden.2016;235;219.059524
4.tyzden.2016;228;92.767857
5.tyzden.2016;219;165.505952
6.tyzden.2016;241;165.750000
7.tyzden.2016;239;292.916667
8.tyzden.2016;191;87.880952
9.tyzden.2016;208;110.190476
10.tyzden.2016;210;200.315476
11.tyzden.2016;235;312.732143
12.tyzden.2016;207;98.720238
13.tyzden.2016;175;184.297619
14.tyzden.2016;239;129.113095
15.tyzden.2016;257;333.613095
16.tyzden.2016;246;98.035714
17.tyzden.2016;236;149.750000
18.tyzden.2016;245;353.291667
19.tyzden.2016;269;265.946428
20.tyzden.2016;218;205.095238
21.tyzden.2016;277;153.976191
22.tyzden.2016;260;180.797619
23.tyzden.2016;289;212.029762
24.tyzden.2016;294;177.500000
25.tyzden.2016;302;169.470238
26.tyzden.2016;293;146.541667
27.tyzden.2016;256;233.625000
28.tyzden.2016;277;246.672619
29.tyzden.2016;236;154.553571
30.tyzden.2016;255;211.166667
31.tyzden.2016;251;266.714286
32.tyzden.2016;277;230.476191
33.tyzden.2016;274;125.928571
34.tyzden.2016;281;182.053571
35.tyzden.2016;231;395.755952
36.tyzden.2016;318;208.875000
37.tyzden.2016;299;128.220238
38.tyzden.2016;277;138.267857
39.tyzden.2016;246;448.708333
40.tyzden.2016;253;195.178571
41.tyzden.2016;252;240.154762
42.tyzden.2016;293;134.119048
43.tyzden.2016;260;504.458333
44.tyzden.2016;233;190.601191
45.tyzden.2016;275;181.630952
46.tyzden.2016;281;79.750000
47.tyzden.2016;280;267.392857
48.tyzden.2016;279;70.434524
49.tyzden.2016;300;209.916667
50.tyzden.2016;284;73.785714
51.tyzden.2016;275;286.934524
52.tyzden.2016;194;168.486111
