Week;Usmrteni;Lyman
1.tyzden.2016;6;4.256000
2.tyzden.2016;11;4.362857
3.tyzden.2016;7;4.257143
4.tyzden.2016;6;4.202857
5.tyzden.2016;6;4.414286
6.tyzden.2016;4;4.422857
7.tyzden.2016;4;4.234286
8.tyzden.2016;7;4.171429
9.tyzden.2016;3;4.310000
10.tyzden.2016;0;4.218571
11.tyzden.2016;3;4.122857
12.tyzden.2016;2;4.051429
13.tyzden.2016;6;4.060000
14.tyzden.2016;0;4.012857
15.tyzden.2016;13;4.091429
16.tyzden.2016;3;3.932857
17.tyzden.2016;7;4.045714
18.tyzden.2016;3;4.074286
19.tyzden.2016;11;4.070000
20.tyzden.2016;5;4.067143
21.tyzden.2016;4;4.020000
22.tyzden.2016;2;4.038571
23.tyzden.2016;9;3.965714
24.tyzden.2016;7;4.058571
25.tyzden.2016;6;3.945714
26.tyzden.2016;11;3.902857
27.tyzden.2016;8;3.952857
28.tyzden.2016;9;4.232857
29.tyzden.2016;8;3.961429
30.tyzden.2016;5;3.792857
31.tyzden.2016;9;3.852857
32.tyzden.2016;3;4.090000
33.tyzden.2016;7;3.890000
34.tyzden.2016;5;3.884286
35.tyzden.2016;8;3.921429
36.tyzden.2016;5;4.041429
37.tyzden.2016;18;3.895714
38.tyzden.2016;11;3.960000
39.tyzden.2016;10;3.861429
40.tyzden.2016;4;4.031429
41.tyzden.2016;8;3.915714
42.tyzden.2016;9;3.800000
43.tyzden.2016;10;3.741429
44.tyzden.2016;8;3.888571
45.tyzden.2016;2;3.770000
46.tyzden.2016;8;3.800000
47.tyzden.2016;13;3.770000
48.tyzden.2016;8;3.912857
49.tyzden.2016;8;3.707143
50.tyzden.2016;9;3.658571
51.tyzden.2016;8;3.711429
52.tyzden.2016;4;3.748333
