Week;Nehodovost;AE;
1.tyzden.2010;438;29.217593
2.tyzden.2010;367;55.755953
3.tyzden.2010;499;65.005953
4.tyzden.2010;470;55.089286
5.tyzden.2010;404;96.375000
6.tyzden.2010;406;65.714286
7.tyzden.2010;369;126.053572
8.tyzden.2010;412;56.946429
9.tyzden.2010;351;87.428572
10.tyzden.2010;434;110.630952
11.tyzden.2010;402;88.595238
12.tyzden.2010;399;53.761905
13.tyzden.2010;331;168.482143
14.tyzden.2010;354;376.357143
15.tyzden.2010;407;126.791667
16.tyzden.2010;401;121.279762
17.tyzden.2010;398;75.315476
18.tyzden.2010;416;273.178572
19.tyzden.2010;386;66.589286
20.tyzden.2010;436;121.500000
21.tyzden.2010;419;179.476191
22.tyzden.2010;433;278.089286
23.tyzden.2010;444;95.154762
24.tyzden.2010;390;152.672619
25.tyzden.2010;360;105.630952
26.tyzden.2010;443;204.785714
27.tyzden.2010;429;80.119048
28.tyzden.2010;408;96.119048
29.tyzden.2010;411;74.202381
30.tyzden.2010;404;187.535714
31.tyzden.2010;391;197.809524
32.tyzden.2010;408;122.142857
33.tyzden.2010;427;85.005952
34.tyzden.2010;414;179.773810
35.tyzden.2010;378;55.928572
36.tyzden.2010;403;117.404762
37.tyzden.2010;417;101.321429
38.tyzden.2010;434;94.428571
39.tyzden.2010;451;66.529762
40.tyzden.2010;428;86.720238
41.tyzden.2010;464;150.666667
42.tyzden.2010;461;140.232143
43.tyzden.2010;477;98.898810
44.tyzden.2010;363;60.880952
45.tyzden.2010;451;134.982143
46.tyzden.2010;461;73.755952
47.tyzden.2010;490;87.613095
48.tyzden.2010;494;56.220238
49.tyzden.2010;437;52.964286
50.tyzden.2010;474;116.642857
51.tyzden.2010;408;80.744048
52.tyzden.2010;314;103.152778
1.tyzden.2011;352;104.574074
2.tyzden.2011;343;116.708333
3.tyzden.2011;369;86.434524
4.tyzden.2011;367;74.952381
5.tyzden.2011;241;165.547619
6.tyzden.2011;291;72.535714
7.tyzden.2011;200;130.755952
8.tyzden.2011;189;71.833333
9.tyzden.2011;253;224.517857
10.tyzden.2011;219;280.500000
11.tyzden.2011;272;54.880952
12.tyzden.2011;249;77.666667
13.tyzden.2011;274;160.630953
14.tyzden.2011;232;200.255952
15.tyzden.2011;249;139.244048
16.tyzden.2011;298;110.392857
17.tyzden.2011;238;185.797619
18.tyzden.2011;267;189.178571
19.tyzden.2011;317;106.375000
20.tyzden.2011;300;117.363095
21.tyzden.2011;307;259.500000
22.tyzden.2011;291;229.815476
23.tyzden.2011;311;232.886905
24.tyzden.2011;289;131.178571
25.tyzden.2011;316;261.071429
26.tyzden.2011;311;142.464286
27.tyzden.2011;260;245.648809
28.tyzden.2011;292;162.601190
29.tyzden.2011;300;223.851190
30.tyzden.2011;262;136.875000
31.tyzden.2011;237;173.482143
32.tyzden.2011;283;145.559524
33.tyzden.2011;322;104.488095
34.tyzden.2011;305;111.672619
35.tyzden.2011;243;120.815476
36.tyzden.2011;289;208.202381
37.tyzden.2011;322;209.327381
38.tyzden.2011;255;64.922619
39.tyzden.2011;333;264.761905
40.tyzden.2011;333;164.815476
41.tyzden.2011;303;67.232143
42.tyzden.2011;330;61.101191
43.tyzden.2011;299;111.857143
44.tyzden.2011;251;165.982143
45.tyzden.2011;239;48.994048
46.tyzden.2011;276;41.958333
47.tyzden.2011;225;103.702381
48.tyzden.2011;296;129.910714
49.tyzden.2011;307;57.964286
50.tyzden.2011;340;38.714286
51.tyzden.2011;347;68.517857
52.tyzden.2011;194;62.868055
1.tyzden.2012;233;99.187500
2.tyzden.2012;256;77.910714
3.tyzden.2012;292;127.202381
4.tyzden.2012;250;208.541667
5.tyzden.2012;199;123.863095
6.tyzden.2012;208;137.494047
7.tyzden.2012;309;210.577381
8.tyzden.2012;225;149.553571
9.tyzden.2012;207;249.339286
10.tyzden.2012;201;396.053571
11.tyzden.2012;209;361.261905
12.tyzden.2012;235;128.392857
13.tyzden.2012;198;173.505952
14.tyzden.2012;215;193.952381
15.tyzden.2012;201;173.321428
16.tyzden.2012;225;179.964286
17.tyzden.2012;294;302.583333
18.tyzden.2012;269;99.023809
19.tyzden.2012;257;271.886905
20.tyzden.2012;248;160.077381
21.tyzden.2012;258;194.488095
22.tyzden.2012;250;165.011905
23.tyzden.2012;292;254.767857
24.tyzden.2012;280;261.041667
25.tyzden.2012;301;133.267857
26.tyzden.2012;279;237.053571
27.tyzden.2012;275;218.136905
28.tyzden.2012;303;442.535714
29.tyzden.2012;249;286.744048
30.tyzden.2012;253;159.785714
31.tyzden.2012;258;192.488095
32.tyzden.2012;258;170.565476
33.tyzden.2012;274;205.791667
34.tyzden.2012;277;212.845238
35.tyzden.2012;265;145.166667
36.tyzden.2012;294;309.898809
37.tyzden.2012;297;82.339286
38.tyzden.2012;270;140.601190
39.tyzden.2012;270;79.047619
40.tyzden.2012;287;135.547619
41.tyzden.2012;273;366.321429
42.tyzden.2012;337;81.803571
43.tyzden.2012;289;80.595238
44.tyzden.2012;268;121.922619
45.tyzden.2012;290;77.732143
46.tyzden.2012;263;162.630952
47.tyzden.2012;299;158.815476
48.tyzden.2012;251;60.904762
49.tyzden.2012;344;38.458333
50.tyzden.2012;344;86.553572
51.tyzden.2012;342;102.744048
52.tyzden.2012;208;45.317708
