Week;Zraneni;Sunspot;
1.tyzden.2010;24;12.222222
2.tyzden.2010;19;28.571429
3.tyzden.2010;26;18.714286
4.tyzden.2010;20;20.857143
5.tyzden.2010;21;17.285714
6.tyzden.2010;23;47.285714
7.tyzden.2010;21;28.428571
8.tyzden.2010;27;21.285714
9.tyzden.2010;22;25.285714
10.tyzden.2010;21;18.571429
11.tyzden.2010;24;25.285714
12.tyzden.2010;20;21.285714
13.tyzden.2010;13;27.428571
14.tyzden.2010;25;23.000000
15.tyzden.2010;18;4.142857
16.tyzden.2010;18;2.571429
17.tyzden.2010;30;6.857143
18.tyzden.2010;19;30.000000
19.tyzden.2010;27;0.000000
20.tyzden.2010;20;5.000000
21.tyzden.2010;25;18.000000
22.tyzden.2010;34;22.142857
23.tyzden.2010;36;29.142857
24.tyzden.2010;23;12.714286
25.tyzden.2010;18;15.428571
26.tyzden.2010;32;13.428571
27.tyzden.2010;23;18.714286
28.tyzden.2010;32;24.571429
29.tyzden.2010;23;30.857143
30.tyzden.2010;23;32.000000
31.tyzden.2010;26;34.857143
32.tyzden.2010;32;48.857143
33.tyzden.2010;15;23.571429
34.tyzden.2010;30;11.714286
35.tyzden.2010;27;40.142857
36.tyzden.2010;25;16.285714
37.tyzden.2010;31;34.285714
38.tyzden.2010;27;39.857143
39.tyzden.2010;17;46.571429
40.tyzden.2010;24;10.857143
41.tyzden.2010;22;27.000000
42.tyzden.2010;20;49.571429
43.tyzden.2010;31;47.714286
44.tyzden.2010;28;23.857143
45.tyzden.2010;29;45.714286
46.tyzden.2010;23;51.000000
47.tyzden.2010;19;20.142857
48.tyzden.2010;14;34.571429
49.tyzden.2010;28;32.428571
50.tyzden.2010;22;21.571429
51.tyzden.2010;23;10.428571
52.tyzden.2010;21;24.666667
