Week;Zraneni;Ap
1.tyzden.2017;16;13.312500
2.tyzden.2017;7;6.178571
3.tyzden.2017;10;8.214286
4.tyzden.2017;6;8.214286
5.tyzden.2017;20;17.089286
6.tyzden.2017;6;6.214286
7.tyzden.2017;12;8.732143
8.tyzden.2017;10;8.250000
9.tyzden.2017;12;19.553571
10.tyzden.2017;11;12.178571
11.tyzden.2017;9;3.178571
12.tyzden.2017;16;10.017857
13.tyzden.2017;22;23.232143
14.tyzden.2017;10;10.821429
15.tyzden.2017;16;6.232143
16.tyzden.2017;15;21.625000
17.tyzden.2017;13;8.250000
18.tyzden.2017;27;4.660714
19.tyzden.2017;20;5.660714
20.tyzden.2017;21;11.017857
21.tyzden.2017;16;12.035714
22.tyzden.2017;21;5.410714
23.tyzden.2017;16;5.357143
24.tyzden.2017;13;9.732143
25.tyzden.2017;13;5.089286
26.tyzden.2017;33;7.125000
27.tyzden.2017;18;6.660714
28.tyzden.2017;14;10.000000
29.tyzden.2017;25;11.732143
30.tyzden.2017;20;6.803571
31.tyzden.2017;35;10.071429
32.tyzden.2017;17;5.482143
33.tyzden.2017;24;15.000000
34.tyzden.2017;15;10.678571
35.tyzden.2017;17;12.464286
36.tyzden.2017;14;26.553571
37.tyzden.2017;24;20.035714
38.tyzden.2017;15;8.071429
39.tyzden.2017;17;18.839286
40.tyzden.2017;13;5.071429
41.tyzden.2017;22;21.410714
42.tyzden.2017;22;7.107143
43.tyzden.2017;8;9.982143
44.tyzden.2017;14;3.714286
45.tyzden.2017;21;18.357143
46.tyzden.2017;20;8.089286
47.tyzden.2017;14;9.785714
48.tyzden.2017;13;5.142857
49.tyzden.2017;26;10.357143
50.tyzden.2017;16;8.482143
51.tyzden.2017;15;6.392857
52.tyzden.2017;10;5.785714
