Week;Zraneni;Sunspot
1.tyzden.2013;17;132.666667
2.tyzden.2013;22;150.571429
3.tyzden.2013;10;74.142857
4.tyzden.2013;21;56.285714
5.tyzden.2013;15;61.571429
6.tyzden.2013;11;50.428571
7.tyzden.2013;11;50.000000
8.tyzden.2013;11;79.285714
9.tyzden.2013;13;71.000000
10.tyzden.2013;12;81.142857
11.tyzden.2013;17;112.714286
12.tyzden.2013;9;58.857143
13.tyzden.2013;16;56.285714
14.tyzden.2013;7;103.428571
15.tyzden.2013;13;125.000000
16.tyzden.2013;14;90.857143
17.tyzden.2013;15;99.142857
18.tyzden.2013;14;123.857143
19.tyzden.2013;16;123.285714
20.tyzden.2013;34;162.142857
21.tyzden.2013;12;112.285714
22.tyzden.2013;11;71.714286
23.tyzden.2013;15;54.142857
24.tyzden.2013;25;55.000000
25.tyzden.2013;14;124.285714
26.tyzden.2013;18;75.714286
27.tyzden.2013;11;113.285714
28.tyzden.2013;21;80.000000
29.tyzden.2013;25;74.142857
30.tyzden.2013;16;72.000000
31.tyzden.2013;25;99.714286
32.tyzden.2013;27;77.857143
33.tyzden.2013;26;105.142857
34.tyzden.2013;12;116.285714
35.tyzden.2013;19;60.142857
36.tyzden.2013;19;59.428571
37.tyzden.2013;19;31.142857
38.tyzden.2013;20;64.142857
39.tyzden.2013;14;60.571429
40.tyzden.2013;9;58.857143
41.tyzden.2013;24;108.714286
42.tyzden.2013;23;131.428571
43.tyzden.2013;19;133.142857
44.tyzden.2013;18;129.000000
45.tyzden.2013;19;129.714286
46.tyzden.2013;20;159.142857
47.tyzden.2013;10;87.857143
48.tyzden.2013;13;81.857143
49.tyzden.2013;20;108.285714
50.tyzden.2013;12;152.857143
51.tyzden.2013;18;130.285714
52.tyzden.2013;20;109.444444
