Week;Zraneni;AU;
1.tyzden.2014;15;48.491667
2.tyzden.2014;15;39.803572
3.tyzden.2014;11;27.166667
4.tyzden.2014;8;26.738095
5.tyzden.2014;15;19.261905
6.tyzden.2014;21;53.994048
7.tyzden.2014;19;37.773809
8.tyzden.2014;24;81.494047
9.tyzden.2014;11;40.642857
10.tyzden.2014;20;26.535714
11.tyzden.2014;11;37.077381
12.tyzden.2014;13;37.172619
13.tyzden.2014;12;35.696429
14.tyzden.2014;15;36.845238
15.tyzden.2014;23;85.547619
16.tyzden.2014;11;70.958333
17.tyzden.2014;10;69.666667
18.tyzden.2014;14;87.940476
19.tyzden.2014;11;87.071429
20.tyzden.2014;17;44.940476
21.tyzden.2014;19;62.107143
22.tyzden.2014;13;47.273809
23.tyzden.2014;20;81.880953
24.tyzden.2014;16;57.154762
25.tyzden.2014;13;89.333333
26.tyzden.2014;11;52.410714
27.tyzden.2014;16;51.386905
28.tyzden.2014;25;90.696429
29.tyzden.2014;22;34.255952
30.tyzden.2014;17;55.089286
31.tyzden.2014;12;68.273809
32.tyzden.2014;9;84.053571
33.tyzden.2014;16;51.636905
34.tyzden.2014;24;59.708333
35.tyzden.2014;11;114.029762
36.tyzden.2014;17;90.029762
37.tyzden.2014;11;66.994048
38.tyzden.2014;17;43.285714
39.tyzden.2014;17;98.994048
40.tyzden.2014;17;61.470238
41.tyzden.2014;19;55.202381
42.tyzden.2014;16;62.029762
43.tyzden.2014;25;85.017857
44.tyzden.2014;13;55.017857
45.tyzden.2014;19;57.785714
46.tyzden.2014;11;56.791667
47.tyzden.2014;14;59.226191
48.tyzden.2014;21;36.273810
49.tyzden.2014;18;87.190476
50.tyzden.2014;20;78.422619
51.tyzden.2014;18;61.982143
52.tyzden.2014;18;83.545833
1.tyzden.2015;6;81.718750
2.tyzden.2015;6;62.666667
3.tyzden.2015;22;44.440476
4.tyzden.2015;9;55.654762
5.tyzden.2015;24;85.488095
6.tyzden.2015;12;70.952381
7.tyzden.2015;4;36.750000
8.tyzden.2015;6;79.916667
9.tyzden.2015;6;79.386905
10.tyzden.2015;8;79.952381
11.tyzden.2015;10;47.446428
12.tyzden.2015;14;100.351190
13.tyzden.2015;12;80.160714
14.tyzden.2015;14;50.851191
15.tyzden.2015;15;70.958333
16.tyzden.2015;9;114.464286
17.tyzden.2015;11;60.297619
18.tyzden.2015;15;64.708333
19.tyzden.2015;17;72.892857
20.tyzden.2015;21;130.148810
21.tyzden.2015;19;55.982143
22.tyzden.2015;18;54.827381
23.tyzden.2015;33;45.238095
24.tyzden.2015;22;130.101191
25.tyzden.2015;11;95.422619
26.tyzden.2015;9;148.261905
27.tyzden.2015;18;65.666666
28.tyzden.2015;23;90.779762
29.tyzden.2015;15;87.857143
30.tyzden.2015;20;83.214286
31.tyzden.2015;21;91.196429
32.tyzden.2015;22;112.904762
33.tyzden.2015;14;122.273810
34.tyzden.2015;20;111.113095
35.tyzden.2015;16;159.488095
36.tyzden.2015;22;79.970238
37.tyzden.2015;21;131.142857
38.tyzden.2015;24;93.059524
39.tyzden.2015;18;45.011905
40.tyzden.2015;14;82.732143
41.tyzden.2015;14;111.660714
42.tyzden.2015;19;88.839286
43.tyzden.2015;14;47.047619
44.tyzden.2015;18;39.642857
45.tyzden.2015;18;79.761905
46.tyzden.2015;16;74.517857
47.tyzden.2015;19;50.351190
48.tyzden.2015;19;32.273809
49.tyzden.2015;15;67.839286
50.tyzden.2015;17;70.773810
51.tyzden.2015;21;68.208333
52.tyzden.2015;22;64.871212
1.tyzden.2016;9;51.600000
2.tyzden.2016;18;56.303572
3.tyzden.2016;8;77.869048
4.tyzden.2016;16;35.589286
5.tyzden.2016;8;57.928571
6.tyzden.2016;11;71.976191
7.tyzden.2016;13;99.184524
8.tyzden.2016;16;39.119048
9.tyzden.2016;8;41.815476
10.tyzden.2016;7;74.202381
11.tyzden.2016;18;111.113095
12.tyzden.2016;6;42.607143
13.tyzden.2016;12;65.702381
14.tyzden.2016;12;53.029762
15.tyzden.2016;11;121.369048
16.tyzden.2016;14;42.726191
17.tyzden.2016;20;60.065476
18.tyzden.2016;11;127.339286
19.tyzden.2016;10;105.202381
20.tyzden.2016;12;94.214286
21.tyzden.2016;15;72.136905
22.tyzden.2016;20;80.559524
23.tyzden.2016;24;89.779762
24.tyzden.2016;14;78.333333
25.tyzden.2016;16;71.607143
26.tyzden.2016;15;66.952381
27.tyzden.2016;16;104.660714
28.tyzden.2016;27;93.244048
29.tyzden.2016;9;75.702381
30.tyzden.2016;12;87.839286
31.tyzden.2016;25;102.696429
32.tyzden.2016;27;88.982143
33.tyzden.2016;30;53.708333
34.tyzden.2016;15;67.839286
35.tyzden.2016;23;125.244048
36.tyzden.2016;24;68.886905
37.tyzden.2016;30;58.648810
38.tyzden.2016;18;57.470238
39.tyzden.2016;13;108.678572
40.tyzden.2016;19;56.565476
41.tyzden.2016;11;64.815476
42.tyzden.2016;16;42.869048
43.tyzden.2016;16;143.172619
44.tyzden.2016;17;59.726190
45.tyzden.2016;16;63.077381
46.tyzden.2016;17;30.250000
47.tyzden.2016;23;63.297619
48.tyzden.2016;13;23.648809
49.tyzden.2016;12;66.803572
50.tyzden.2016;21;28.500000
51.tyzden.2016;12;70.309524
52.tyzden.2016;9;50.083333
