Week;Usmrteni;Proton10
1.tyzden.2014;6;0.154500
2.tyzden.2014;11;151.130357
3.tyzden.2014;12;0.322560
4.tyzden.2014;7;0.360595
5.tyzden.2014;8;0.124107
6.tyzden.2014;7;0.120298
7.tyzden.2014;14;0.124524
8.tyzden.2014;5;0.720476
9.tyzden.2014;2;20.846964
10.tyzden.2014;2;1.195833
11.tyzden.2014;7;0.125417
12.tyzden.2014;10;0.119524
13.tyzden.2014;2;0.218572
14.tyzden.2014;3;0.221905
15.tyzden.2014;3;0.180833
16.tyzden.2014;3;7.450536
17.tyzden.2014;16;0.163393
18.tyzden.2014;3;0.125357
19.tyzden.2014;3;0.165536
20.tyzden.2014;6;0.124762
21.tyzden.2014;7;0.122381
22.tyzden.2014;6;0.123988
23.tyzden.2014;17;0.126905
24.tyzden.2014;6;0.134821
25.tyzden.2014;3;0.117619
26.tyzden.2014;7;0.120774
27.tyzden.2014;4;0.120893
28.tyzden.2014;6;0.132441
29.tyzden.2014;7;0.120060
30.tyzden.2014;3;0.122976
31.tyzden.2014;2;0.125178
32.tyzden.2014;13;0.123571
33.tyzden.2014;7;0.124881
34.tyzden.2014;17;0.128274
35.tyzden.2014;7;0.182738
36.tyzden.2014;11;3.101012
37.tyzden.2014;6;7.734048
38.tyzden.2014;8;0.159524
39.tyzden.2014;8;0.214583
40.tyzden.2014;5;0.148036
41.tyzden.2014;6;0.137321
42.tyzden.2014;3;0.152322
43.tyzden.2014;6;0.152560
44.tyzden.2014;5;0.693929
45.tyzden.2014;2;0.442143
46.tyzden.2014;12;0.131429
47.tyzden.2014;4;0.139405
48.tyzden.2014;10;0.133631
49.tyzden.2014;5;0.142143
50.tyzden.2014;5;0.235595
51.tyzden.2014;4;0.285595
52.tyzden.2014;11;0.316833
