Week;Nehodovost;Ap;
1.tyzden.2011;352;6.513889
2.tyzden.2011;343;6.821429
3.tyzden.2011;369;4.696429
4.tyzden.2011;367;3.857143
5.tyzden.2011;241;10.535714
6.tyzden.2011;291;3.660714
7.tyzden.2011;200;8.857143
8.tyzden.2011;189;3.017857
9.tyzden.2011;253;12.660714
10.tyzden.2011;219;14.000000
11.tyzden.2011;272;3.214286
12.tyzden.2011;249;4.910714
13.tyzden.2011;274;8.642857
14.tyzden.2011;232;8.964286
15.tyzden.2011;249;8.232143
16.tyzden.2011;298;6.875000
17.tyzden.2011;238;9.303571
18.tyzden.2011;267;7.767857
19.tyzden.2011;317;5.267857
20.tyzden.2011;300;5.750000
21.tyzden.2011;307;15.375000
22.tyzden.2011;291;11.392857
23.tyzden.2011;311;8.375000
24.tyzden.2011;289;6.035714
25.tyzden.2011;316;9.910714
26.tyzden.2011;311;5.339286
27.tyzden.2011;260;8.875000
28.tyzden.2011;292;6.428571
29.tyzden.2011;300;10.142857
30.tyzden.2011;262;7.196429
31.tyzden.2011;237;13.696429
32.tyzden.2011;283;5.767857
33.tyzden.2011;322;5.232143
34.tyzden.2011;305;5.625000
35.tyzden.2011;243;5.482143
36.tyzden.2011;289;14.571429
37.tyzden.2011;322;13.696429
38.tyzden.2011;255;3.732143
39.tyzden.2011;333;21.035714
40.tyzden.2011;333;7.821429
41.tyzden.2011;303;4.339286
42.tyzden.2011;330;3.642857
43.tyzden.2011;299;11.285714
44.tyzden.2011;251;7.160714
45.tyzden.2011;239;3.250000
46.tyzden.2011;276;2.500000
47.tyzden.2011;225;5.589286
48.tyzden.2011;296;7.750000
49.tyzden.2011;307;3.589286
50.tyzden.2011;340;2.375000
51.tyzden.2011;347;4.000000
52.tyzden.2011;194;4.333333
1.tyzden.2012;233;5.078125
2.tyzden.2012;256;5.303571
3.tyzden.2012;292;7.928571
4.tyzden.2012;250;10.214286
5.tyzden.2012;199;6.321429
6.tyzden.2012;208;7.321429
7.tyzden.2012;309;10.500000
8.tyzden.2012;225;8.410714
9.tyzden.2012;207;12.160714
10.tyzden.2012;201;29.642857
11.tyzden.2012;209;21.642857
12.tyzden.2012;235;6.642857
13.tyzden.2012;198;7.410714
14.tyzden.2012;215;7.571429
15.tyzden.2012;201;9.178571
16.tyzden.2012;225;7.160714
17.tyzden.2012;294;18.214286
18.tyzden.2012;269;3.625000
19.tyzden.2012;257;10.928571
20.tyzden.2012;248;6.053571
21.tyzden.2012;258;8.107143
22.tyzden.2012;250;8.803571
23.tyzden.2012;292;10.678571
24.tyzden.2012;280;14.267857
25.tyzden.2012;301;4.892857
26.tyzden.2012;279;10.482143
27.tyzden.2012;275;12.125000
28.tyzden.2012;303;24.928571
29.tyzden.2012;249;13.178571
30.tyzden.2012;253;6.196429
31.tyzden.2012;258;8.089286
32.tyzden.2012;258;6.196429
33.tyzden.2012;274;8.553571
34.tyzden.2012;277;8.267857
35.tyzden.2012;265;5.285714
36.tyzden.2012;294;15.892857
37.tyzden.2012;297;4.750000
38.tyzden.2012;270;6.660714
39.tyzden.2012;270;4.232143
40.tyzden.2012;287;8.303571
41.tyzden.2012;273;26.321429
42.tyzden.2012;337;4.732143
43.tyzden.2012;289;3.589286
44.tyzden.2012;268;5.625000
45.tyzden.2012;290;4.000000
46.tyzden.2012;263;12.053571
47.tyzden.2012;299;8.000000
48.tyzden.2012;251;3.571429
49.tyzden.2012;344;2.089286
50.tyzden.2012;344;3.750000
51.tyzden.2012;342;5.160714
52.tyzden.2012;208;2.203125
1.tyzden.2013;185;2.520833
2.tyzden.2013;254;4.553571
3.tyzden.2013;259;8.910714
4.tyzden.2013;231;6.196429
5.tyzden.2013;271;4.303571
6.tyzden.2013;276;4.339286
7.tyzden.2013;242;8.178571
8.tyzden.2013;226;6.500000
9.tyzden.2013;210;10.892857
10.tyzden.2013;202;3.571429
11.tyzden.2013;263;15.071429
12.tyzden.2013;230;7.821429
13.tyzden.2013;272;12.178571
14.tyzden.2013;160;3.785714
15.tyzden.2013;232;5.160714
16.tyzden.2013;252;2.535714
17.tyzden.2013;253;10.303571
18.tyzden.2013;230;9.392857
19.tyzden.2013;249;5.089286
20.tyzden.2013;243;10.464286
21.tyzden.2013;240;14.875000
22.tyzden.2013;238;15.285714
23.tyzden.2013;241;12.375000
24.tyzden.2013;298;4.303571
25.tyzden.2013;325;10.053571
26.tyzden.2013;242;16.607143
27.tyzden.2013;275;8.196429
28.tyzden.2013;252;14.250000
29.tyzden.2013;274;10.410714
30.tyzden.2013;270;7.232143
31.tyzden.2013;249;5.410714
32.tyzden.2013;296;5.785714
33.tyzden.2013;261;10.607143
34.tyzden.2013;256;9.357143
35.tyzden.2013;249;8.696429
36.tyzden.2013;278;5.142857
37.tyzden.2013;262;5.196429
38.tyzden.2013;281;7.232143
39.tyzden.2013;264;3.285714
40.tyzden.2013;242;10.089286
41.tyzden.2013;269;10.000000
42.tyzden.2013;278;8.339286
43.tyzden.2013;277;2.303571
44.tyzden.2013;236;5.803571
45.tyzden.2013;276;9.000000
46.tyzden.2013;268;7.928571
47.tyzden.2013;308;2.589286
48.tyzden.2013;258;4.017857
49.tyzden.2013;311;7.392857
50.tyzden.2013;247;4.892857
51.tyzden.2013;303;3.571429
52.tyzden.2013;280;2.722222
