Week;Zraneni;Proton30
1.tyzden.2017;16;0.093594
2.tyzden.2017;7;0.097738
3.tyzden.2017;10;0.094524
4.tyzden.2017;6;0.096667
5.tyzden.2017;20;0.094643
6.tyzden.2017;6;0.098214
7.tyzden.2017;12;0.096369
8.tyzden.2017;10;0.095834
9.tyzden.2017;12;0.095655
10.tyzden.2017;11;0.100119
11.tyzden.2017;9;0.098571
12.tyzden.2017;16;0.096071
13.tyzden.2017;22;0.094940
14.tyzden.2017;10;0.095595
15.tyzden.2017;16;0.102679
16.tyzden.2017;15;0.095060
17.tyzden.2017;13;0.094762
18.tyzden.2017;27;0.096250
19.tyzden.2017;20;0.100595
20.tyzden.2017;21;0.097798
21.tyzden.2017;16;0.096190
22.tyzden.2017;21;0.097559
23.tyzden.2017;16;0.099643
24.tyzden.2017;13;0.109345
25.tyzden.2017;13;0.099464
26.tyzden.2017;33;0.097262
27.tyzden.2017;18;0.098631
28.tyzden.2017;14;0.183155
29.tyzden.2017;25;0.101607
30.tyzden.2017;20;0.110833
31.tyzden.2017;35;0.091369
32.tyzden.2017;17;0.096488
33.tyzden.2017;24;0.092917
34.tyzden.2017;15;0.092679
35.tyzden.2017;17;0.095595
36.tyzden.2017;14;12.197381
37.tyzden.2017;24;55.283155
38.tyzden.2017;15;0.099881
39.tyzden.2017;17;0.087619
40.tyzden.2017;13;0.092857
41.tyzden.2017;22;0.091964
42.tyzden.2017;22;0.094821
43.tyzden.2017;8;0.091845
44.tyzden.2017;14;0.095595
45.tyzden.2017;21;0.094643
46.tyzden.2017;20;0.098452
47.tyzden.2017;14;0.101429
48.tyzden.2017;13;0.121369
49.tyzden.2017;26;0.139167
50.tyzden.2017;16;0.147203
51.tyzden.2017;15;0.153988
52.tyzden.2017;10;0.148274
