Week;Nehodovost;Proton30
1.tyzden.2013;185;0.076528
2.tyzden.2013;254;0.075952
3.tyzden.2013;259;0.080357
4.tyzden.2013;231;0.077440
5.tyzden.2013;271;0.076072
6.tyzden.2013;276;0.078095
7.tyzden.2013;242;0.077321
8.tyzden.2013;226;0.078214
9.tyzden.2013;210;0.083274
10.tyzden.2013;202;0.090178
11.tyzden.2013;263;0.119286
12.tyzden.2013;230;0.073095
13.tyzden.2013;272;0.075714
14.tyzden.2013;160;0.077798
15.tyzden.2013;232;1.810357
16.tyzden.2013;252;0.093214
17.tyzden.2013;253;0.110357
18.tyzden.2013;230;0.076131
19.tyzden.2013;249;0.073095
20.tyzden.2013;243;0.347083
21.tyzden.2013;240;1.991786
22.tyzden.2013;238;0.192321
23.tyzden.2013;241;0.078988
24.tyzden.2013;298;0.069524
25.tyzden.2013;325;0.121131
26.tyzden.2013;242;0.089286
27.tyzden.2013;275;0.070000
28.tyzden.2013;252;0.067440
29.tyzden.2013;274;0.071905
30.tyzden.2013;270;0.071786
31.tyzden.2013;249;0.069583
32.tyzden.2013;296;0.068512
33.tyzden.2013;261;0.071964
34.tyzden.2013;256;0.085000
35.tyzden.2013;249;0.068274
36.tyzden.2013;278;0.066488
37.tyzden.2013;262;0.068869
38.tyzden.2013;281;0.068095
39.tyzden.2013;264;0.069464
40.tyzden.2013;242;0.928988
41.tyzden.2013;269;0.078810
42.tyzden.2013;278;0.076905
43.tyzden.2013;277;0.084464
44.tyzden.2013;236;0.328988
45.tyzden.2013;276;0.110536
46.tyzden.2013;268;0.075536
47.tyzden.2013;308;0.094821
48.tyzden.2013;258;0.068810
49.tyzden.2013;311;0.067500
50.tyzden.2013;247;0.072321
51.tyzden.2013;303;0.067678
52.tyzden.2013;280;0.217685
