Week;Usmrteni;Lyman
1.tyzden.2017;0;3.700000
2.tyzden.2017;4;3.661429
3.tyzden.2017;7;3.842857
4.tyzden.2017;13;3.818571
5.tyzden.2017;6;3.654286
6.tyzden.2017;7;3.635714
7.tyzden.2017;6;3.735714
8.tyzden.2017;6;3.810000
9.tyzden.2017;5;3.747143
10.tyzden.2017;4;3.625714
11.tyzden.2017;7;3.644286
12.tyzden.2017;8;3.697143
13.tyzden.2017;13;3.718571
14.tyzden.2017;5;3.641429
15.tyzden.2017;6;3.691429
16.tyzden.2017;6;3.804286
17.tyzden.2017;3;3.814286
18.tyzden.2017;6;3.632857
19.tyzden.2017;3;3.614286
20.tyzden.2017;5;3.727143
21.tyzden.2017;2;3.755714
22.tyzden.2017;13;3.660000
23.tyzden.2017;9;3.717143
24.tyzden.2017;7;3.790000
25.tyzden.2017;6;3.744286
26.tyzden.2017;4;3.651429
27.tyzden.2017;9;3.664286
28.tyzden.2017;10;3.790000
29.tyzden.2017;5;3.645714
30.tyzden.2017;5;3.621429
31.tyzden.2017;7;3.651429
32.tyzden.2017;2;3.721429
33.tyzden.2017;4;3.644286
34.tyzden.2017;12;3.682857
35.tyzden.2017;9;3.740000
36.tyzden.2017;7;3.944286
37.tyzden.2017;14;3.658571
38.tyzden.2017;8;3.648571
39.tyzden.2017;7;3.867143
40.tyzden.2017;8;3.804286
41.tyzden.2017;21;3.617143
42.tyzden.2017;8;3.670000
43.tyzden.2017;3;3.828571
44.tyzden.2017;2;3.717143
45.tyzden.2017;6;3.571429
46.tyzden.2017;2;3.647143
47.tyzden.2017;3;3.770000
48.tyzden.2017;9;3.615714
49.tyzden.2017;14;3.551429
50.tyzden.2017;5;3.661429
51.tyzden.2017;7;3.701429
52.tyzden.2017;2;3.601429
