Week;Zraneni;Dst;
1.tyzden.2010;24;2.236111
2.tyzden.2010;19;-0.630952
3.tyzden.2010;26;-6.208333
4.tyzden.2010;20;-5.672619
5.tyzden.2010;21;-7.946429
6.tyzden.2010;23;-8.077381
7.tyzden.2010;21;-16.059524
8.tyzden.2010;27;-5.309524
9.tyzden.2010;22;-4.190476
10.tyzden.2010;21;-8.684524
11.tyzden.2010;24;-5.428571
12.tyzden.2010;20;0.101190
13.tyzden.2010;13;-11.000000
14.tyzden.2010;25;-36.190476
15.tyzden.2010;18;-21.000000
16.tyzden.2010;18;-11.369048
17.tyzden.2010;30;-5.422619
18.tyzden.2010;19;-26.726190
19.tyzden.2010;27;-7.154762
20.tyzden.2010;20;-6.529762
21.tyzden.2010;25;-7.571429
22.tyzden.2010;34;-27.345238
23.tyzden.2010;36;-8.303572
24.tyzden.2010;23;-7.178572
25.tyzden.2010;18;-2.226191
26.tyzden.2010;32;-14.005952
27.tyzden.2010;23;-7.672619
28.tyzden.2010;32;-3.672619
29.tyzden.2010;23;-0.154762
30.tyzden.2010;23;-8.547619
31.tyzden.2010;26;-25.755952
32.tyzden.2010;32;-14.113095
33.tyzden.2010;15;-7.755952
34.tyzden.2010;30;-9.910714
35.tyzden.2010;27;-6.851191
36.tyzden.2010;25;-9.815476
37.tyzden.2010;31;-7.767857
38.tyzden.2010;27;-4.458333
39.tyzden.2010;17;-9.416667
40.tyzden.2010;24;-7.505952
41.tyzden.2010;22;-14.380952
42.tyzden.2010;20;-12.553571
43.tyzden.2010;31;-15.494048
44.tyzden.2010;28;-3.797619
45.tyzden.2010;29;-9.809524
46.tyzden.2010;23;-10.726191
47.tyzden.2010;19;-8.470238
48.tyzden.2010;14;-5.095238
49.tyzden.2010;28;-2.636905
50.tyzden.2010;22;-9.505953
51.tyzden.2010;23;-8.547619
52.tyzden.2010;21;-13.173611
1.tyzden.2011;11;-6.379630
2.tyzden.2011;12;-8.952381
3.tyzden.2011;13;-2.511905
4.tyzden.2011;19;-0.976191
5.tyzden.2011;10;-13.488095
6.tyzden.2011;11;-10.750000
7.tyzden.2011;9;-12.773810
8.tyzden.2011;11;-4.565476
9.tyzden.2011;18;-15.500000
10.tyzden.2011;14;-26.488095
11.tyzden.2011;12;-3.648810
12.tyzden.2011;16;-1.273809
13.tyzden.2011;24;-5.267857
14.tyzden.2011;14;-18.845238
15.tyzden.2011;13;-7.916667
16.tyzden.2011;18;-3.327381
17.tyzden.2011;16;-11.523809
18.tyzden.2011;20;-17.613095
19.tyzden.2011;17;-0.845238
20.tyzden.2011;23;-3.672619
21.tyzden.2011;23;-16.422619
22.tyzden.2011;30;-20.601190
23.tyzden.2011;21;-20.154762
24.tyzden.2011;23;-3.351190
25.tyzden.2011;20;-8.172619
26.tyzden.2011;31;-7.577381
27.tyzden.2011;19;-16.083333
28.tyzden.2011;27;-4.369048
29.tyzden.2011;19;-8.446428
30.tyzden.2011;15;-7.690476
31.tyzden.2011;13;-22.583333
32.tyzden.2011;20;-17.482143
33.tyzden.2011;31;-8.154762
34.tyzden.2011;14;-7.982143
35.tyzden.2011;20;-9.089286
