Week;Zraneni;Solar;
1.tyzden.2014;15;189.880000
2.tyzden.2014;15;181.871429
3.tyzden.2014;11;126.300000
4.tyzden.2014;8;134.214286
5.tyzden.2014;15;159.514286
6.tyzden.2014;21;177.871429
7.tyzden.2014;19;159.142857
8.tyzden.2014;24;155.042857
9.tyzden.2014;11;167.471429
10.tyzden.2014;20;148.028571
11.tyzden.2014;11;145.357143
12.tyzden.2014;13;147.328571
13.tyzden.2014;12;148.957143
14.tyzden.2014;15;150.471429
15.tyzden.2014;23;136.214286
16.tyzden.2014;11;169.757143
17.tyzden.2014;10;134.857143
18.tyzden.2014;14;129.085714
19.tyzden.2014;11;151.457143
20.tyzden.2014;17;151.428571
21.tyzden.2014;19;119.071429
22.tyzden.2014;13;106.371429
23.tyzden.2014;20;124.500000
24.tyzden.2014;16;161.528571
25.tyzden.2014;13;110.700000
26.tyzden.2014;11;107.371429
27.tyzden.2014;16;180.328571
28.tyzden.2014;25;179.085714
29.tyzden.2014;22;96.242857
30.tyzden.2014;17;107.614286
31.tyzden.2014;12;155.814286
32.tyzden.2014;9;131.585714
33.tyzden.2014;16;110.542857
34.tyzden.2014;24;126.742857
35.tyzden.2014;11;129.571429
36.tyzden.2014;17;146.400000
37.tyzden.2014;11;157.171429
38.tyzden.2014;17;127.400000
39.tyzden.2014;17;160.614286
40.tyzden.2014;17;147.971429
41.tyzden.2014;19;120.271429
42.tyzden.2014;16;142.157143
43.tyzden.2014;25;212.071429
44.tyzden.2014;13;142.471429
45.tyzden.2014;19;132.571429
46.tyzden.2014;11;150.771429
47.tyzden.2014;14;163.885714
48.tyzden.2014;21;166.828571
49.tyzden.2014;18;144.985714
50.tyzden.2014;20;145.428571
51.tyzden.2014;18;192.328571
52.tyzden.2014;18;139.370000
1.tyzden.2015;6;140.625000
2.tyzden.2015;6;144.357143
3.tyzden.2015;22;129.985714
4.tyzden.2015;9;120.785714
5.tyzden.2015;24;151.171429
6.tyzden.2015;12;144.271429
7.tyzden.2015;4;126.742857
8.tyzden.2015;6;115.828571
9.tyzden.2015;6;115.200000
10.tyzden.2015;8;127.771429
11.tyzden.2015;10;120.100000
12.tyzden.2015;14;113.885714
13.tyzden.2015;12;136.885714
14.tyzden.2015;14;124.385714
15.tyzden.2015;15;118.385714
16.tyzden.2015;9;149.928571
17.tyzden.2015;11;140.500000
18.tyzden.2015;15;106.928571
19.tyzden.2015;17;145.200000
20.tyzden.2015;21;148.142857
21.tyzden.2015;19;106.571429
22.tyzden.2015;18;96.971429
23.tyzden.2015;33;121.114286
24.tyzden.2015;22;139.942857
25.tyzden.2015;11;141.871429
26.tyzden.2015;9;128.400000
27.tyzden.2015;18;114.471429
28.tyzden.2015;23;130.242857
29.tyzden.2015;15;104.585714
30.tyzden.2015;20;95.228571
31.tyzden.2015;21;104.371429
32.tyzden.2015;22;118.100000
33.tyzden.2015;14;98.442857
34.tyzden.2015;20;109.014286
35.tyzden.2015;16;114.671429
36.tyzden.2015;22;89.485714
37.tyzden.2015;21;90.328571
38.tyzden.2015;24;105.742857
39.tyzden.2015;18;114.314286
40.tyzden.2015;14;114.071429
41.tyzden.2015;14;81.471429
42.tyzden.2015;19;104.714286
43.tyzden.2015;14;116.514286
44.tyzden.2015;18;113.471429
45.tyzden.2015;18;113.457143
46.tyzden.2015;16;103.085714
47.tyzden.2015;19;109.428571
48.tyzden.2015;19;102.514286
49.tyzden.2015;15;94.442857
50.tyzden.2015;17;108.357143
51.tyzden.2015;21;116.128571
52.tyzden.2015;22;113.218182
1.tyzden.2016;9;98.510000
2.tyzden.2016;18;100.185714
3.tyzden.2016;8;97.528571
4.tyzden.2016;16;105.071429
5.tyzden.2016;8;109.885714
6.tyzden.2016;11;109.628571
7.tyzden.2016;13;97.085714
8.tyzden.2016;16;89.157143
9.tyzden.2016;8;95.100000
10.tyzden.2016;7;93.585714
11.tyzden.2016;18;90.185714
12.tyzden.2016;6;86.457143
13.tyzden.2016;12;83.700000
14.tyzden.2016;12;94.614286
15.tyzden.2016;11;111.400000
16.tyzden.2016;14;83.814286
17.tyzden.2016;20;91.728571
18.tyzden.2016;11;89.942857
19.tyzden.2016;10;97.142857
20.tyzden.2016;12;102.542857
21.tyzden.2016;15;93.571429
22.tyzden.2016;20;86.200000
23.tyzden.2016;24;86.785714
24.tyzden.2016;14;89.857143
25.tyzden.2016;16;81.128571
26.tyzden.2016;15;75.342857
27.tyzden.2016;16;85.700000
28.tyzden.2016;27;102.228571
29.tyzden.2016;9;99.500000
30.tyzden.2016;12;73.928571
31.tyzden.2016;25;81.371429
32.tyzden.2016;27;95.471429
33.tyzden.2016;30;84.128571
34.tyzden.2016;15;83.028571
35.tyzden.2016;23;97.714286
36.tyzden.2016;24;93.371429
37.tyzden.2016;30;85.042857
38.tyzden.2016;18;85.271429
39.tyzden.2016;13;83.614286
40.tyzden.2016;19;99.142857
41.tyzden.2016;11;92.785714
42.tyzden.2016;16;76.000000
43.tyzden.2016;16;76.800000
44.tyzden.2016;17;75.100000
45.tyzden.2016;16;76.742857
46.tyzden.2016;17;75.957143
47.tyzden.2016;23;77.071429
48.tyzden.2016;13;81.942857
49.tyzden.2016;12;73.585714
50.tyzden.2016;21;69.714286
51.tyzden.2016;12;71.442857
52.tyzden.2016;9;71.133333
